Position,Competitor,Country,Points,Gap
1,Primoz Peterka,slowenia,1402,
2,Dieter Thoma,niemcy,1208,-194
3,Kazuyoshi Funaki,japonia,1018,-384
4,Takanobu Okabe,japonia,941,-461
5,Hiroya Saitoh,japonia,923,-479
6,Andreas Goldberger,austria,817,-585
7,Kristian Brenden,norwegia,793,-609
8,Janne Ahonen,finlandia,734,-668
9,Jani Soininen,finlandia,657,-745
10,Adam Małysz,polska,612,-790
11,Lasse Ottesen,norwegia,545,-857
12,Ari-Pekka Nikkola,finlandia,464,-938
13,Roar Ljoekelsoey,norwegia,462,-940
14,Mika Laitinen,finlandia,440,-962
15,Andreas Widhölzl,austria,401,-1001
16,Espen Bredesen,norwegia,384,-1018
17,Noriaki Kasai,japonia,351,-1051
18,Nicolas Dessum,francja,328,-1074
19,Martin Höllwarth,austria,293,-1109
20,Ville Kantee,finlandia,255,-1147
21,Jakub Suchacek,czechy,242,-1160
22,Sturle Holseter,norwegia,234,-1168
23,Hansjörg Jäkle,niemcy,219,-1183
,Jaroslav Sakala,czechy,219,-1183
25,Akira Higashi,japonia,211,-1191
26,Bruno Reuteler,szwajcaria,200,-1202
27,Sylvain Freiholz,szwajcaria,173,-1229
28,Haavard Lie,norwegia,160,-1242
29,Masahiko Harada,japonia,156,-1246
30,Robert Mateja,polska,154,-1248
31,Reinhard Schwarzenberger,austria,152,-1250
32,Jerome Gay,francja,151,-1251
33,Masayuki Sato,japonia,145,-1257
34,Christof Duffner,niemcy,137,-1265
35,Stefan Horngacher,austria,120,-1282
36,Marco Steinauer,szwajcaria,119,-1283
37,Kent Johanssen,norwegia,115,-1287
38,Kenji Suda,japonia,104,-1298
39,Didier Mollard,francja,102,-1300
40,Hideharu Miyahira,japonia,94,-1308
41,Pasi Kytoesaho,finlandia,93,-1309
42,Jussi Hautamäki,finlandia,90,-1312
43,Roberto Cecon,wlochy,89,-1313
44,Ralph Gebstedt,niemcy,87,-1315
45,Kimmo Savolainen,finlandia,73,-1329
46,Roman Krenek,czechy,72,-1330
47,Frantisek Jez,czechy,69,-1333
48,Tommy Ingebrigtsen,norwegia,68,-1334
,Simen Berntzen,norwegia,68,-1334
50,Robert Meglic,slowenia,65,-1337
51,Kazuya Yoshioka,japonia,59,-1343
52,Frank Reichel,niemcy,58,-1344
53,Michal Dolezal,czechy,53,-1349
54,Robert Krenek,czechy,50,-1352
55,Martin Schmitt,niemcy,45,-1357
56,Henning Stensrud,norwegia,43,-1359
,Ronny Hornschuh,niemcy,43,-1359
58,Marian Bielcik,slowacja,42,-1360
59,Sven Hannawald,niemcy,40,-1362
60,Peter Zonta,slowenia,38,-1364
61,Wilhelm Brenna,norwegia,32,-1370
,Hein-Arne Mathiesen,norwegia,32,-1370
63,Risto Jussilainen,finlandia,31,-1371
64,Egil Groenn,norwegia,29,-1373
65,Alexander Volkov,rosja,22,-1380
,Samo Gostisa,slowenia,22,-1380
67,Urban Franc,slowenia,21,-1381
,Matthias Wallner,austria,21,-1381
69,Christian Moser,austria,20,-1382
70,Arve Vorvik,norwegia,18,-1384
,Kazuhiro Higashi,japonia,18,-1384
72,Wojciech Skupień,polska,16,-1386
,Naoki Yasuzaki,japonia,16,-1386
74,Rico Meinel,niemcy,15,-1387
75,Ingemar Mayr,austria,14,-1388
,Tero Koponen,finlandia,14,-1388
77,Lucas Chevalier-Girod,francja,13,-1389
78,Frode Haare,norwegia,12,-1390
,Jure Radelj,slowenia,12,-1390
,Markus Eigentler,austria,12,-1390
81,Blaz Vrhovnik,slowenia,11,-1391
82,Janne Vaeaetaeinen,finlandia,10,-1392
,Jani Mattila,finlandia,10,-1392
,Jaroslav Kahanek,czechy,10,-1392
,Dionis Vodnev,kazachstan,10,-1392
86,Yusuke Kaneko,japonia,9,-1393
,Olaf Hegenbarth,niemcy,9,-1393
88,Gerhard Schallert,austria,8,-1394
,Martin Mesik,slowacja,8,-1394
,Gerd Siegmund,niemcy,8,-1394
91,Fredrik Johansson,szwecja,7,-1395
92,Toni Nieminen,finlandia,6,-1396
93,Werner Rathmayr,austria,4,-1398
,Kazuhiro Nakamura,japonia,4,-1398
,Christian Meyer,norwegia,4,-1398
96,Matija Stegnar,slowenia,3,-1399
,Naoto Ito,japonia,3,-1399
,Jakub Janda,czechy,3,-1399
99,Jakub Jiroutek,czechy,2,-1400
,Marko Bogataj,slowenia,2,-1400
,Adolf Grugger,austria,2,-1400
,Stian Kvarstad,norwegia,2,-1400
