Position,Competitor,Country,Points,Gap
1,Primoz Peterka,slowenia,1253,
2,Kazuyoshi Funaki,japonia,1234,-19
3,Andreas Widhölzl,austria,1208,-45
4,Masahiko Harada,japonia,1120,-133
5,Hiroya Saitoh,japonia,962,-291
6,Sven Hannawald,niemcy,953,-300
7,Jani Soininen,finlandia,950,-303
8,Dieter Thoma,niemcy,921,-332
9,Janne Ahonen,finlandia,836,-417
10,Noriaki Kasai,japonia,720,-533
11,Martin Höllwarth,austria,568,-685
12,Kristian Brenden,norwegia,549,-704
13,Stefan Horngacher,austria,546,-707
14,Hansjörg Jäkle,niemcy,528,-725
15,Henning Stensrud,norwegia,398,-855
16,Takanobu Okabe,japonia,385,-868
17,Andreas Goldberger,austria,327,-926
18,Lasse Ottesen,norwegia,288,-965
19,Kimmo Savolainen,finlandia,262,-991
20,Bruno Reuteler,szwajcaria,255,-998
21,Jaroslav Sakala,czechy,245,-1008
,Reinhard Schwarzenberger,austria,245,-1008
23,Akira Higashi,japonia,240,-1013
24,Kazuya Yoshioka,japonia,238,-1015
25,Sylvain Freiholz,szwajcaria,232,-1021
26,Mika Laitinen,finlandia,231,-1022
27,Martin Schmitt,niemcy,218,-1035
28,Jon Petter Sandaker,norwegia,217,-1036
29,Ari-Pekka Nikkola,finlandia,213,-1040
30,Roberto Cecon,wlochy,199,-1054
31,Wolfgang Loitzl,austria,194,-1059
32,Roar Ljoekelsoey,norwegia,191,-1062
33,Michael Wagner,niemcy,176,-1077
34,Robert Mateja,polska,165,-1088
35,Ronny Hornschuh,niemcy,159,-1094
36,Hideharu Miyahira,japonia,135,-1118
37,Nicolas Dessum,francja,130,-1123
38,Christof Duffner,niemcy,110,-1143
39,Matti Hautamäki,finlandia,104,-1149
40,Kenji Suda,japonia,78,-1175
,Sturle Holseter,norwegia,78,-1175
42,Jussi Hautamäki,finlandia,76,-1177
43,Espen Bredesen,norwegia,65,-1188
44,Michal Dolezal,czechy,64,-1189
45,Yoshikazu Norota,japonia,60,-1193
46,Gerd Siegmund,niemcy,56,-1197
,Frantisek Jez,czechy,56,-1197
48,Tommy Ingebrigtsen,norwegia,54,-1199
49,Jakub Jiroutek,czechy,51,-1202
50,Stian Kvarstad,norwegia,50,-1203
,Valery Kobelev,rosja,50,-1203
52,Blaz Vrhovnik,slowenia,47,-1206
53,Jerome Gay,francja,45,-1208
54,Ville Kantee,finlandia,44,-1209
,Matthias Wallner,austria,44,-1209
,Frode Haare,norwegia,44,-1209
57,Adam Małysz,polska,43,-1210
58,Martin Zimmermann,austria,41,-1212
59,Urban Franc,slowenia,39,-1214
60,Robert Krenek,czechy,33,-1220
,Morten Aagheim,norwegia,33,-1220
62,Jakub Suchacek,czechy,29,-1224
63,Peter Zonta,slowenia,28,-1225
64,Alexander Herr,niemcy,27,-1226
65,Roland Audenrieth,niemcy,26,-1227
,Miha Rihtar,slowenia,26,-1227
67,Toni Nieminen,finlandia,25,-1228
68,Wojciech Skupień,polska,23,-1230
,Milan Zivic,slowenia,23,-1230
70,Jakub Janda,czechy,22,-1231
,Simon Ammann,szwajcaria,22,-1231
,Kazuki Nishishita,japonia,22,-1231
73,Ryuji Takahashi,japonia,20,-1233
74,Roland Wakolm,austria,15,-1238
75,Casey Colby,usa,13,-1240
76,Kjell Erik Sagbakken,norwegia,10,-1243
,Haavard Lie,norwegia,10,-1243
78,Vladimir Rosko,slowacja,9,-1244
,Kazuhiro Nakamura,japonia,9,-1244
80,Falko Krismayr,austria,8,-1245
81,Martin Mesik,slowacja,7,-1246
82,Heung Chul Choi,korea,6,-1247
,Lauri Hakola,finlandia,6,-1247
,Pasi Kytoesaho,finlandia,6,-1247
85,Jure Radelj,slowenia,5,-1248
,Juho Forsman,finlandia,5,-1248
,Damjan Fras,slowenia,5,-1248
88,Andrej Lyskovec,bialorus,4,-1249
,Michael Kury,austria,4,-1249
90,Randy Weber,usa,3,-1250
,Krystian Długopolski,polska,3,-1250
,Lucas Chevalier-Girod,francja,3,-1250
93,Alexej Schibko,bialorus,2,-1251
,Jan Zelencik,slowacja,2,-1251
,Marco Steinauer,szwajcaria,2,-1251
,Grega Lang,slowenia,2,-1251
,Ralph Gebstedt,niemcy,2,-1251
98,Masayuki Sato,japonia,1,-1252
