Position,Competitor,Country,Points,Gap
1,Pius Paschke,niemcy,765,
2,Jan Hoerl,austria,711,-54
3,Daniel Tschofenig,austria,696,-69
4,Stefan Kraft,austria,567,-198
5,Gregor Deschwanden,szwajcaria,504,-261
6,Andreas Wellinger,niemcy,393,-372
7,Kristoffer Eriksen Sundal,norwegia,391,-374
8,Maximilian Ortner,austria,310,-455
9,Karl Geiger,niemcy,287,-478
10,Michael Hayboeck,austria,256,-509
11,Anze Lanisek,slowenia,242,-523
12,Johann Andre Forfang,norwegia,231,-534
13,Marius Lindvik,norwegia,205,-560
14,Timi Zajc,slowenia,184,-581
15,Paweł Wąsek,polska,167,-598
16,Ryoyu Kobayashi,japonia,163,-602
17,Ren Nikaido,japonia,162,-603
18,Manuel Fettner,austria,159,-606
19,Aleksander Zniszczoł,polska,144,-621
20,Halvor Egner Granerud,norwegia,130,-635
21,Artti Aigro,estonia,109,-656
22,Fredrik Villumstad,norwegia,88,-677
23,Tate Frantz,usa,83,-682
24,Killian Peier,szwajcaria,77,-688
25,Valentin Foubert,francja,73,-692
26,Markus Eisenbichler,niemcy,69,-696
27,Jakub Wolny,polska,64,-701
28,Benjamin Oestvold,norwegia,63,-702
29,Vladimir Zografski,bulgaria,62,-703
30,Kamil Stoch,polska,57,-708
31,Markus Mueller,austria,49,-716
,Dawid Kubacki,polska,49,-716
33,Stephan Leyhe,niemcy,47,-718
34,Philipp Raimund,niemcy,42,-723
35,Antti Aalto,finlandia,36,-729
36,Yevhen Marusiak,ukraina,28,-737
37,Stephan Embacher,austria,27,-738
38,Naoki Nakamura,japonia,26,-739
39,Domen Prevc,slowenia,25,-740
40,Robert Johansson,norwegia,24,-741
41,Niko Kytosaho,finlandia,22,-743
42,Piotr Żyła,polska,21,-744
43,Lovro Kos,slowenia,20,-745
44,Kevin Bickner,usa,17,-748
45,Danil Vassilyev,kazachstan,13,-752
46,Fatih Arda Ipcioglu,turcja,12,-753
,Zak Mogel,slowenia,12,-753
48,Adrian Tittel,niemcy,11,-754
49,Ilyja Mizernykh,kazachstan,6,-759
50,Keiichi Sato,japonia,3,-762
,Jason Colby,usa,3,-762
52,Simon Ammann,szwajcaria,2,-763
,Robin Pedersen,norwegia,2,-763
