Position,Competitor,Country,Points,Gap
1,Gregor Schlierenzauer,austria,2083,
2,Simon Ammann,szwajcaria,1776,-307
3,Wolfgang Loitzl,austria,1396,-687
4,Harri Olli,finlandia,974,-1109
5,Dmitriy Vassiliev,rosja,845,-1238
6,Martin Schmitt,niemcy,829,-1254
7,Thomas Morgenstern,austria,795,-1288
8,Anders Jacobsen,norwegia,661,-1422
9,Martin Koch,austria,601,-1482
10,Anders Bardal,norwegia,598,-1485
11,Andreas Küttel,szwajcaria,561,-1522
12,Matti Hautamäki,finlandia,558,-1525
13,Adam Małysz,polska,549,-1534
14,Ville Larinto,finlandia,541,-1542
15,Noriaki Kasai,japonia,409,-1674
16,Roman Koudelka,czechy,403,-1680
17,Emmanuel Chedal,francja,395,-1688
18,Michael Uhrmann,niemcy,354,-1729
19,Michael Neumayer,niemcy,353,-1730
20,Johan Remen Evensen,norwegia,334,-1749
21,Kalle Keituri,finlandia,293,-1790
22,Jakub Janda,czechy,279,-1804
23,Robert Kranjec,slowenia,276,-1807
24,Tom Hilde,norwegia,269,-1814
25,Roar Ljoekelsoey,norwegia,259,-1824
26,Fumihisa Yumoto,japonia,237,-1846
27,Markus Eggenhofer,austria,232,-1851
28,Takanobu Okabe,japonia,227,-1856
29,Daiki Ito,japonia,193,-1890
30,Kamil Stoch,polska,146,-1937
,Denis Kornilov,rosja,146,-1937
32,Stephan Hocke,niemcy,145,-1938
33,Yuta Watase,japonia,142,-1941
34,Bjoern Einar Romoeren,norwegia,113,-1970
35,Shohei Tochimoto,japonia,107,-1976
36,Andreas Kofler,austria,102,-1981
37,Jernej Damjan,slowenia,99,-1984
38,Ilja Rosliakov,rosja,98,-1985
39,Vincent Descombes Sevoie,francja,75,-2008
40,Vegard-Haukoe Sklett,norwegia,68,-2015
41,Sebastian Colloredo,wlochy,60,-2023
42,Pavel Karelin,rosja,56,-2027
,Taku Takeuchi,japonia,56,-2027
44,Stefan Hula,polska,51,-2032
45,Felix Schoft,niemcy,50,-2033
46,Sigurd Pettersen,norwegia,42,-2041
47,Primoz Peterka,slowenia,40,-2043
48,Severin Freund,niemcy,36,-2047
49,Rafał Śliż,polska,33,-2050
50,Łukasz Rutkowski,polska,29,-2054
,Kim Rene Elverum Sorsell,norwegia,29,-2054
52,Robert Hrgota,slowenia,26,-2057
53,Kai Kovaljeff,finlandia,25,-2058
54,Primoz Pikl,slowenia,24,-2059
55,Pascal Bodmer,niemcy,23,-2060
,Martin Cikl,czechy,23,-2060
57,Mitja Meznar,slowenia,20,-2063
58,Lukas Hlava,czechy,19,-2064
59,Andreas Wank,niemcy,18,-2065
60,Jure Sinkovec,slowenia,15,-2068
,Nicholas Fairall,usa,15,-2068
62,Ondrej Vaculik,czechy,14,-2069
63,Kazuyoshi Funaki,japonia,12,-2071
64,Tami Kiuru,finlandia,11,-2072
,Johan Erikson,szwecja,11,-2072
66,Jan Matura,czechy,10,-2073
,Yukio Sakano,japonia,10,-2073
,Manuel Fettner,austria,10,-2073
,Anze Damjan,slowenia,10,-2073
,Nikolay Karpenko,kazachstan,10,-2073
71,Krzysztof Miętus,polska,9,-2074
,Jussi Hautamäki,finlandia,9,-2074
,Julian Musiol,niemcy,9,-2074
,Rok Urbanc,slowenia,9,-2074
75,Maximilian Mechler,niemcy,8,-2075
76,Christian Ulmer,niemcy,7,-2076
,Lukas Mueller,austria,7,-2076
,Volodymyr Boshchuk,ukraina,7,-2076
79,Vitaliy Shumbarets,ukraina,6,-2077
80,Daniel Lackner,austria,5,-2078
81,Piotr Żyła,polska,4,-2079
82,Juha-Matti Ruuskanen,finlandia,3,-2080
,Sami Niemi,finlandia,3,-2080
,Oleksandr Lazarovych,ukraina,3,-2080
,Marcin Bachleda,polska,3,-2080
,Veli-Matti Lindström,finlandia,3,-2080
87,Erik Simon,niemcy,2,-2081
,Anders Johnson,usa,2,-2081
,Jon Aaraas,norwegia,2,-2081
90,Nicolas Mayer,francja,1,-2082
,Hiroki Yamada,japonia,1,-2082
,Andreas Aren,szwecja,1,-2082
