Position,Competitor,Country,Points,Gap
1,Kamil Stoch,polska,1443,
2,Richard Freitag,niemcy,1070,-373
3,Daniel Andre Tande,norwegia,985,-458
4,Stefan Kraft,austria,881,-562
5,Robert Johansson,norwegia,840,-603
6,Andreas Wellinger,niemcy,828,-615
7,Johann Andre Forfang,norwegia,821,-622
8,Andreas Stjernen,norwegia,665,-778
9,Dawid Kubacki,polska,633,-810
10,Markus Eisenbichler,niemcy,597,-846
11,Junshiro Kobayashi,japonia,568,-875
12,Anders Fannemel,norwegia,500,-943
13,Stefan Hula,polska,431,-1012
14,Karl Geiger,niemcy,427,-1016
15,Peter Prevc,slowenia,416,-1027
16,Piotr Żyła,polska,403,-1040
17,Jernej Damjan,slowenia,379,-1064
18,Stephan Leyhe,niemcy,327,-1116
19,Simon Ammann,szwajcaria,312,-1131
20,Halvor Egner Granerud,norwegia,280,-1163
21,Maciej Kot,polska,261,-1182
22,Anze Semenic,slowenia,256,-1187
23,Michael Hayboeck,austria,245,-1198
24,Ryoyu Kobayashi,japonia,187,-1256
25,Tilen Bartol,slowenia,185,-1258
26,Noriaki Kasai,japonia,164,-1279
27,Manuel Fettner,austria,137,-1306
28,Daniel Huber,austria,117,-1326
29,Clemens Aigner,austria,104,-1339
30,Pius Paschke,niemcy,90,-1353
31,Taku Takeuchi,japonia,89,-1354
32,Timi Zajc,slowenia,88,-1355
33,Constantin Schmid,niemcy,81,-1362
,Domen Prevc,slowenia,81,-1362
35,Gregor Schlierenzauer,austria,77,-1366
36,Jakub Wolny,polska,73,-1370
37,Manuel Poppinger,austria,66,-1377
38,Gregor Deschwanden,szwajcaria,54,-1389
39,Kevin Bickner,usa,50,-1393
,Nejc Dezman,slowenia,50,-1393
41,Marius Lindvik,norwegia,49,-1394
42,Denis Kornilov,rosja,46,-1397
43,Andreas Wank,niemcy,45,-1398
44,Ziga Jelar,slowenia,43,-1400
45,Yukiya Sato,japonia,41,-1402
46,Philipp Aschenwald,austria,34,-1409
47,Mackenzie Boyd-Clowes,kanada,31,-1412
48,Cestmir Kozisek,czechy,30,-1413
49,Robert Kranjec,slowenia,26,-1417
50,Jurij Tepes,slowenia,22,-1421
51,Florian Altenburger,austria,20,-1423
52,Vladimir Zografski,bulgaria,15,-1428
53,Tomaz Naglic,slowenia,14,-1429
54,Antti Aalto,finlandia,13,-1430
,Bor Pavlovcic,slowenia,13,-1430
,Killian Peier,szwajcaria,13,-1430
57,Roman Koudelka,czechy,12,-1431
,William Rhoads,usa,12,-1431
59,David Siegel,niemcy,11,-1432
,Alex Insam,wlochy,11,-1432
61,Sondre Ringen,norwegia,9,-1434
,Ulrich Wohlgenannt,austria,9,-1434
63,Jonathan Learoyd,francja,8,-1435
,Daiki Ito,japonia,8,-1435
65,Evgenii Klimov,rosja,7,-1436
66,Eetu Nousiainen,finlandia,6,-1437
67,Vincent Descombes Sevoie,francja,4,-1439
68,Vojtech Stursa,czechy,3,-1440
69,Clemens Leitner,austria,2,-1441
,Andreas Schuler,szwajcaria,2,-1441
,Dmitriy Vassiliev,rosja,2,-1441
,Naoki Nakamura,japonia,2,-1441
73,Tomasz Pilch,polska,1,-1442
,Sebastian Colloredo,wlochy,1,-1442
