Position,Competitor,Country,Points,Gap
1,Adam Małysz,polska,1531,
2,Martin Schmitt,niemcy,1173,-358
3,Risto Jussilainen,finlandia,938,-593
4,Noriaki Kasai,japonia,728,-803
5,Janne Ahonen,finlandia,686,-845
6,Matti Hautamäki,finlandia,648,-883
7,Wolfgang Loitzl,austria,614,-917
8,Stefan Horngacher,austria,566,-965
9,Sven Hannawald,niemcy,462,-1069
10,Jani Soininen,finlandia,394,-1137
11,Tommy Ingebrigtsen,norwegia,391,-1140
12,Andreas Widhölzl,austria,388,-1143
13,Martin Höllwarth,austria,374,-1157
14,Andreas Goldberger,austria,373,-1158
15,Jussi Hautamäki,finlandia,328,-1203
16,Hideharu Miyahira,japonia,302,-1229
17,Ville Kantee,finlandia,283,-1248
18,Veli-Matti Lindström,finlandia,277,-1254
19,Jure Radelj,slowenia,265,-1266
20,Kazuya Yoshioka,japonia,237,-1294
21,Toni Nieminen,finlandia,230,-1301
22,Michael Uhrmann,niemcy,184,-1347
23,Frank Löffler,niemcy,180,-1351
24,Igor Medved,slowenia,179,-1352
25,Christof Duffner,niemcy,173,-1358
26,Masahiko Harada,japonia,167,-1364
27,Roberto Cecon,wlochy,159,-1372
28,Roar Ljoekelsoey,norwegia,151,-1380
29,Olav Magne Dönnem,norwegia,148,-1383
30,Kazuyoshi Funaki,japonia,144,-1387
31,Henning Stensrud,norwegia,133,-1398
,Robert Mateja,polska,133,-1398
33,Dmitriy Vassiliev,rosja,129,-1402
34,Reinhard Schwarzenberger,austria,120,-1411
35,Jakub Janda,czechy,113,-1418
36,Martin Koch,austria,109,-1422
37,Kristoffer Jaafs,szwecja,107,-1424
38,Tami Kiuru,finlandia,99,-1432
39,Peter Zonta,slowenia,96,-1435
40,Alexander Herr,niemcy,94,-1437
41,Kazuhiro Nakamura,japonia,91,-1440
42,Sylvain Freiholz,szwajcaria,89,-1442
,Wojciech Skupień,polska,89,-1442
44,Stefan Kaiser,austria,76,-1455
45,Morten Solem,norwegia,73,-1458
46,Nicolas Dessum,francja,68,-1463
47,Damjan Fras,slowenia,66,-1465
48,Andreas Küttel,szwajcaria,63,-1468
49,Takanobu Okabe,japonia,57,-1474
50,Hansjörg Jäkle,niemcy,54,-1477
51,Georg Späth,niemcy,52,-1479
52,Marco Steinauer,szwajcaria,48,-1483
53,Anders Bardal,norwegia,47,-1484
54,Manuel Fettner,austria,45,-1486
55,Alan Alborn,usa,42,-1489
56,Yuta Watase,japonia,35,-1496
57,Roland Audenrieth,niemcy,31,-1500
58,Jakub Hlava,czechy,26,-1505
59,Dennis Stoerl,niemcy,25,-1506
60,Lasse Ottesen,norwegia,23,-1508
61,Kristian Brenden,norwegia,21,-1510
62,Jaroslav Sakala,czechy,19,-1512
,Johan Munters,szwecja,19,-1512
64,Primoz Zupan-Urh,slowenia,16,-1515
,Lassi Huuskonen,finlandia,16,-1515
66,Haavard Lie,norwegia,14,-1517
67,Sota Okamura,japonia,12,-1519
68,Yukitaka Fukita,japonia,10,-1521
,Lauri Hakola,finlandia,10,-1521
70,Valery Kobelev,rosja,9,-1522
,Ildar Fatchullin,rosja,9,-1522
72,Frank Reichel,niemcy,8,-1523
73,Bernhard Metzler,austria,5,-1526
,Morten Aagheim,norwegia,5,-1526
75,Christoph Grillhoesl,niemcy,4,-1527
76,Heung Chul Choi,korea,3,-1528
,Łukasz Kruczek,polska,3,-1528
,Anton Kalinitschenko,rosja,3,-1528
79,Pekka Salminen,finlandia,2,-1529
,Andreas Baumgartner,austria,2,-1529
81,Michal Dolezal,czechy,1,-1530
,Michael Neumayer,niemcy,1,-1530
