Position,Competitor,Country,Points,Gap
1,Peter Prevc,slowenia,2303,
2,Severin Freund,niemcy,1490,-813
3,Kenneth Gangnes,norwegia,1348,-955
4,Michael Hayboeck,austria,1301,-1002
5,Johann Andre Forfang,norwegia,1240,-1063
6,Stefan Kraft,austria,1006,-1297
7,Daniel Andre Tande,norwegia,985,-1318
8,Noriaki Kasai,japonia,909,-1394
9,Richard Freitag,niemcy,680,-1623
10,Anders Fannemel,norwegia,670,-1633
11,Roman Koudelka,czechy,650,-1653
12,Andreas Stjernen,norwegia,607,-1696
13,Robert Kranjec,slowenia,603,-1700
14,Domen Prevc,slowenia,486,-1817
15,Simon Ammann,szwajcaria,480,-1823
16,Daiki Ito,japonia,476,-1827
17,Andreas Wellinger,niemcy,408,-1895
18,Taku Takeuchi,japonia,398,-1905
19,Andreas Wank,niemcy,369,-1934
20,Joachim Hauer,norwegia,356,-1947
21,Jurij Tepes,slowenia,307,-1996
22,Kamil Stoch,polska,295,-2008
23,Stephan Leyhe,niemcy,257,-2046
24,Manuel Fettner,austria,238,-2065
25,Anze Lanisek,slowenia,232,-2071
26,Stefan Hula,polska,227,-2076
27,Manuel Poppinger,austria,208,-2095
28,Vincent Descombes Sevoie,francja,204,-2099
29,Dawid Kubacki,polska,182,-2121
30,Karl Geiger,niemcy,174,-2129
31,Maciej Kot,polska,165,-2138
32,Jakub Janda,czechy,164,-2139
33,Jan Matura,czechy,118,-2185
34,Andrzej Stękała,polska,105,-2198
35,Lukas Hlava,czechy,89,-2214
,Piotr Żyła,polska,89,-2214
37,Tom Hilde,norwegia,74,-2229
38,Andreas Kofler,austria,62,-2241
39,Gregor Deschwanden,szwajcaria,61,-2242
,Markus Eisenbichler,niemcy,61,-2242
41,Marinus Kraus,niemcy,57,-2246
42,Ryoyu Kobayashi,japonia,55,-2248
43,Gregor Schlierenzauer,austria,53,-2250
44,Philipp Aschenwald,austria,50,-2253
,Mackenzie Boyd-Clowes,kanada,50,-2253
46,Jaka Hvala,slowenia,46,-2257
47,Kento Sakuyama,japonia,43,-2260
48,Lauri Asikainen,finlandia,42,-2261
49,David Siegel,niemcy,37,-2266
50,Klemens Murańka,polska,36,-2267
51,Thomas Hofer,austria,25,-2278
52,Michael Neumayer,niemcy,24,-2279
,Ronan Lamy Chappuis,francja,24,-2279
54,Ilmir Hazetdinov,rosja,23,-2280
55,Shohei Tochimoto,japonia,22,-2281
56,Evgenii Klimov,rosja,21,-2282
57,Bor Pavlovcic,slowenia,20,-2283
58,Robert Johansson,norwegia,19,-2284
59,Kenshiro Ito,japonia,16,-2287
60,Ville Larinto,finlandia,14,-2289
61,Junshiro Kobayashi,japonia,13,-2290
62,Denis Kornilov,rosja,12,-2291
63,Sebastian Colloredo,wlochy,11,-2292
64,Anze Semenic,slowenia,8,-2295
65,Markus Schiffner,austria,7,-2296
,Cestmir Kozisek,czechy,7,-2296
67,Vladimir Zografski,bulgaria,6,-2297
,Naoki Nakamura,japonia,6,-2297
69,Jakub Wolny,polska,5,-2298
,Andraz Pograjc,slowenia,5,-2298
71,Joacim Oedegaard Bjoereng,norwegia,3,-2300
,Anton Kalinitschenko,rosja,3,-2300
,Tomas Vancura,czechy,3,-2300
74,Clemens Aigner,austria,2,-2301
,Pius Paschke,niemcy,2,-2301
,Killian Peier,szwajcaria,2,-2301
77,Kevin Bickner,usa,1,-2302
