Position,Competitor,Country,Points,Gap
1,Adam Małysz,polska,1475,
2,Sven Hannawald,niemcy,1259,-216
3,Matti Hautamäki,finlandia,1048,-427
4,Andreas Widhölzl,austria,874,-601
5,Martin Schmitt,niemcy,795,-680
6,Martin Höllwarth,austria,737,-738
7,Simon Ammann,szwajcaria,628,-847
8,Martin Koch,austria,561,-914
9,Stephan Hocke,niemcy,508,-967
10,Risto Jussilainen,finlandia,474,-1001
11,Kazuyoshi Funaki,japonia,460,-1015
12,Stefan Horngacher,austria,434,-1041
13,Andreas Goldberger,austria,419,-1056
14,Peter Zonta,slowenia,364,-1111
15,Janne Ahonen,finlandia,356,-1119
16,Robert Kranjec,slowenia,348,-1127
17,Roberto Cecon,wlochy,299,-1176
18,Hideharu Miyahira,japonia,279,-1196
19,Veli-Matti Lindström,finlandia,274,-1201
20,Alan Alborn,usa,263,-1212
21,Valery Kobelev,rosja,237,-1238
22,Christof Duffner,niemcy,230,-1245
23,Noriaki Kasai,japonia,219,-1256
24,Hiroki Yamada,japonia,194,-1281
25,Primoz Peterka,slowenia,180,-1295
26,Jussi Hautamäki,finlandia,174,-1301
27,Damjan Fras,slowenia,153,-1322
28,Michael Uhrmann,niemcy,152,-1323
29,Wolfgang Loitzl,austria,146,-1329
30,Andreas Küttel,szwajcaria,145,-1330
31,Toni Nieminen,finlandia,142,-1333
32,Jakub Janda,czechy,141,-1334
33,Alexander Herr,niemcy,129,-1346
34,Georg Späth,niemcy,118,-1357
35,Roar Ljoekelsoey,norwegia,117,-1358
36,Anders Bardal,norwegia,109,-1366
37,Tami Kiuru,finlandia,101,-1374
38,Masahiko Harada,japonia,97,-1378
39,Ildar Fatchullin,rosja,96,-1379
40,Jörg Ritzerfeld,niemcy,69,-1406
,Igor Medved,slowenia,69,-1406
42,Nicolas Dessum,francja,67,-1408
43,Tommy Ingebrigtsen,norwegia,66,-1409
44,Kimmo Yliriesto,finlandia,63,-1412
45,Janne Ylijärvi,finlandia,57,-1418
46,Janne Happonen,finlandia,56,-1419
47,Clint Jones,usa,55,-1420
48,Arttu Lappi,finlandia,51,-1424
49,Robert Mateja,polska,50,-1425
50,Dirk Else,niemcy,49,-1426
51,Kazuya Yoshioka,japonia,45,-1430
52,Michael Neumayer,niemcy,39,-1436
53,Tomasz Pochwała,polska,38,-1437
,Akira Higashi,japonia,38,-1437
55,Marcin Bachleda,polska,26,-1449
56,Stefan Kaiser,austria,21,-1454
57,Michal Dolezal,czechy,20,-1455
58,Manuel Fettner,austria,19,-1456
59,Daniel Forfang,norwegia,18,-1457
,Takanobu Okabe,japonia,18,-1457
,Blaz Vrhovnik,slowenia,18,-1457
62,Lassi Huuskonen,finlandia,15,-1460
63,Hiroya Saitoh,japonia,13,-1462
,Ville Kantee,finlandia,13,-1462
65,Lars Bystoel,norwegia,12,-1463
,Kalle Keituri,finlandia,12,-1463
67,Morten Solem,norwegia,10,-1465
68,Emmanuel Chedal,francja,9,-1466
,Ingemar Mayr,holandia,9,-1466
,Kristoffer Jaafs,szwecja,9,-1466
71,Ole Christen Enger,norwegia,8,-1467
,Frank Löffler,niemcy,8,-1467
73,Tomisław Tajner,polska,7,-1468
74,Stanislav Filimonov,kazachstan,6,-1469
,Sigurd Pettersen,norwegia,6,-1469
,Sylvain Freiholz,szwajcaria,6,-1469
77,Pekka Salminen,finlandia,5,-1470
,Yuta Watase,japonia,5,-1470
,Kai Bracht,niemcy,5,-1470
,Łukasz Kruczek,polska,5,-1470
,Heung Chul Choi,korea,5,-1470
,Rok Benkovic,slowenia,5,-1470
83,Jakub Jiroutek,czechy,4,-1471
,Wojciech Skupień,polska,4,-1471
85,Sota Okamura,japonia,3,-1472
86,Remi Santiago,francja,2,-1473
,Christoph Kreuzer,holandia,2,-1473
88,Hansjörg Jäkle,niemcy,1,-1474
,Olav Magne Dönnem,norwegia,1,-1474
,Grega Lang,slowenia,1,-1474
