Position,Competitor,Country,Points,Gap
1,Stefan Kraft,austria,2149,
2,Ryoyu Kobayashi,japonia,1673,-476
3,Andreas Wellinger,niemcy,1488,-661
4,Jan Hoerl,austria,1140,-1009
5,Peter Prevc,slowenia,1071,-1078
6,Michael Hayboeck,austria,882,-1267
7,Johann Andre Forfang,norwegia,867,-1282
8,Marius Lindvik,norwegia,854,-1295
9,Lovro Kos,slowenia,792,-1357
10,Pius Paschke,niemcy,778,-1371
11,Daniel Tschofenig,austria,747,-1402
12,Manuel Fettner,austria,703,-1446
13,Domen Prevc,slowenia,663,-1486
14,Anze Lanisek,slowenia,661,-1488
15,Daniel Huber,austria,647,-1502
16,Timi Zajc,slowenia,640,-1509
17,Karl Geiger,niemcy,623,-1526
18,Gregor Deschwanden,szwajcaria,552,-1597
19,Aleksander Zniszczoł,polska,524,-1625
20,Philipp Raimund,niemcy,461,-1688
21,Kristoffer Eriksen Sundal,norwegia,458,-1691
22,Ren Nikaido,japonia,449,-1700
23,Stephan Leyhe,niemcy,425,-1724
24,Halvor Egner Granerud,norwegia,409,-1740
25,Piotr Żyła,polska,292,-1857
26,Kamil Stoch,polska,256,-1893
27,Alex Insam,wlochy,215,-1934
28,Dawid Kubacki,polska,213,-1936
29,Robert Johansson,norwegia,195,-1954
30,Niko Kytosaho,finlandia,189,-1960
31,Giovanni Bresadola,wlochy,175,-1974
32,Clemens Aigner,austria,165,-1984
33,Roman Koudelka,czechy,163,-1986
34,Junshiro Kobayashi,japonia,143,-2006
35,Erik Belshaw,usa,137,-2012
36,Benjamin Oestvold,norwegia,131,-2018
37,Vladimir Zografski,bulgaria,93,-2056
38,Daniel Andre Tande,norwegia,90,-2059
39,Stephan Embacher,austria,86,-2063
40,Antti Aalto,finlandia,85,-2064
41,Killian Peier,szwajcaria,79,-2070
42,Tate Frantz,usa,71,-2078
43,Artti Aigro,estonia,66,-2083
44,Martin Hamann,niemcy,59,-2090
45,Yevhen Marusiak,ukraina,57,-2092
46,Felix Hoffmann,niemcy,49,-2100
47,Paweł Wąsek,polska,42,-2107
,Sindre Ulven Joergensen,norwegia,42,-2107
49,Constantin Schmid,niemcy,39,-2110
50,Remo Imhof,szwajcaria,30,-2119
51,Zak Mogel,slowenia,28,-2121
52,Simon Ammann,szwajcaria,27,-2122
53,Eetu Nousiainen,finlandia,24,-2125
,Robin Pedersen,norwegia,24,-2125
55,Maciej Kot,polska,21,-2128
56,Naoki Nakamura,japonia,15,-2134
57,Kasperi Valto,finlandia,12,-2137
58,Maksim Bartolj,slowenia,10,-2139
,Noriaki Kasai,japonia,10,-2139
,Fredrik Villumstad,norwegia,10,-2139
61,Valentin Foubert,francja,8,-2141
62,Ziga Jelar,slowenia,7,-2142
63,Andrew Urlaub,usa,4,-2145
64,Fatih Arda Ipcioglu,turcja,3,-2146
,Andrea Campregher,wlochy,3,-2146
,Keiichi Sato,japonia,3,-2146
67,Taku Takeuchi,japonia,2,-2147
