Position,Competitor,Country,Points,Gap
1,Thomas Morgenstern,austria,1757,
2,Simon Ammann,szwajcaria,1364,-393
3,Adam Małysz,polska,1153,-604
4,Andreas Kofler,austria,1128,-629
5,Tom Hilde,norwegia,903,-854
6,Martin Koch,austria,840,-917
7,Severin Freund,niemcy,769,-988
8,Matti Hautamäki,finlandia,764,-993
9,Gregor Schlierenzauer,austria,761,-996
10,Kamil Stoch,polska,739,-1018
11,Johan Remen Evensen,norwegia,645,-1112
12,Manuel Fettner,austria,460,-1297
13,Wolfgang Loitzl,austria,442,-1315
14,Anders Bardal,norwegia,419,-1338
15,Daiki Ito,japonia,413,-1344
16,Roman Koudelka,czechy,382,-1375
17,Bjoern Einar Romoeren,norwegia,364,-1393
18,Robert Kranjec,slowenia,355,-1402
19,Anders Jacobsen,norwegia,344,-1413
20,Ville Larinto,finlandia,342,-1415
21,Michael Uhrmann,niemcy,314,-1443
22,Michael Neumayer,niemcy,306,-1451
23,Pavel Karelin,rosja,282,-1475
24,Peter Prevc,slowenia,218,-1539
25,Noriaki Kasai,japonia,197,-1560
26,Emmanuel Chedal,francja,190,-1567
27,Jan Matura,czechy,180,-1577
28,Shohei Tochimoto,japonia,165,-1592
29,Ole Marius Ingvaldsen,norwegia,155,-1602
30,Martin Schmitt,niemcy,137,-1620
31,Stephan Hocke,niemcy,132,-1625
32,Janne Happonen,finlandia,125,-1632
33,Pascal Bodmer,niemcy,122,-1635
34,Jakub Janda,czechy,119,-1638
,Jurij Tepes,slowenia,119,-1638
36,Rune Velta,norwegia,106,-1651
,Denis Kornilov,rosja,106,-1651
38,Richard Freitag,niemcy,105,-1652
39,Stefan Hula,polska,95,-1662
40,Anssi Koivuranta,finlandia,90,-1667
41,Jernej Damjan,slowenia,84,-1673
42,Fumihisa Yumoto,japonia,80,-1677
43,Olli Muotka,finlandia,76,-1681
44,Janne Ahonen,finlandia,74,-1683
,Stefan Thurnbichler,austria,74,-1683
46,Sebastian Colloredo,wlochy,69,-1688
47,Taku Takeuchi,japonia,67,-1690
48,Andreas Stjernen,norwegia,56,-1701
,Borek Sedlak,czechy,56,-1701
50,Lukas Hlava,czechy,53,-1704
51,Felix Schoft,niemcy,46,-1711
52,Andrea Morassi,wlochy,45,-1712
53,Vladimir Zografski,bulgaria,38,-1719
54,Piotr Żyła,polska,37,-1720
55,Vegard-Haukoe Sklett,norwegia,32,-1725
56,Michael Hayboeck,austria,28,-1729
57,Mitja Meznar,slowenia,21,-1736
58,Kazuyoshi Funaki,japonia,15,-1742
,Mario Innauer,austria,15,-1742
,Maximilian Mechler,niemcy,15,-1742
61,Kalle Keituri,finlandia,14,-1743
62,Tomaz Naglic,slowenia,13,-1744
,Peter Frenette,usa,13,-1744
64,Andreas Wank,niemcy,9,-1748
65,Kim Rene Elverum Sorsell,norwegia,7,-1750
,Rafał Śliż,polska,7,-1750
67,Marcin Bachleda,polska,6,-1751
,Juha-Matti Ruuskanen,finlandia,6,-1751
,Kazuya Yoshioka,japonia,6,-1751
,Dejan Judez,slowenia,6,-1751
71,Davide Bresadola,wlochy,5,-1752
,Heung Chul Choi,korea,5,-1752
,Mackenzie Boyd-Clowes,kanada,5,-1752
74,Kenshiro Ito,japonia,4,-1753
75,Ilja Rosliakov,rosja,3,-1754
,Dmitriy Vassiliev,rosja,3,-1754
,Thomas Diethart,austria,3,-1754
78,Tomasz Byrt,polska,2,-1755
,Primoz Pikl,slowenia,2,-1755
,Kenneth Gangnes,norwegia,2,-1755
,Roman Trofimov,rosja,2,-1755
82,Ondrej Vaculik,czechy,1,-1756
,Harri Olli,finlandia,1,-1756
,Jarkko Maatta,finlandia,1,-1756
,Fredrik Balkasen,szwecja,1,-1756
