Position,Competitor,Country,Points,Gap
1,Andreas Goldberger,austria,1571,
2,Roberto Cecon,wlochy,935,-636
3,Janne Ahonen,finlandia,869,-702
4,Kazuyoshi Funaki,japonia,843,-728
5,Takanobu Okabe,japonia,821,-750
6,Jens Weissflog,niemcy,683,-888
7,Jani Soininen,finlandia,606,-965
8,Ari-Pekka Nikkola,finlandia,572,-999
9,Mika Laitinen,finlandia,564,-1007
10,Lasse Ottesen,norwegia,472,-1099
11,Toni Nieminen,finlandia,464,-1107
12,Nicolas Dessum,francja,443,-1128
13,Nicolas Jean-Prost,francja,421,-1150
14,Reinhard Schwarzenberger,austria,394,-1177
15,Espen Bredesen,norwegia,356,-1215
16,Jakub Suchacek,czechy,338,-1233
17,Hansjörg Jäkle,niemcy,270,-1301
18,Dieter Thoma,niemcy,240,-1331
19,Naoto Ito,japonia,225,-1346
20,Franci Petek,slowenia,215,-1356
21,Christian Moser,austria,202,-1369
22,Gerd Siegmund,niemcy,200,-1371
23,Bruno Reuteler,szwajcaria,182,-1389
24,Urban Franc,slowenia,180,-1391
25,Jinya Nishikata,japonia,171,-1400
26,Andreas Widhölzl,austria,169,-1402
27,Hiroya Saitoh,japonia,151,-1420
28,Naoki Yasuzaki,japonia,129,-1442
,Didier Mollard,francja,129,-1442
30,Robert Meglic,slowenia,108,-1463
31,Rico Meinel,niemcy,102,-1469
,Jiri Parma,czechy,102,-1469
33,Roar Ljoekelsoey,norwegia,96,-1475
34,Jaroslav Sakala,czechy,91,-1480
,Ralph Gebstedt,niemcy,91,-1480
36,Zbynek Krompolc,czechy,90,-1481
37,Frantisek Jez,czechy,86,-1485
38,Martin Trunz,szwajcaria,85,-1486
39,Sylvain Freiholz,szwajcaria,69,-1502
40,Lucas Chevalier-Girod,francja,66,-1505
41,Dejan Jekovec,slowenia,65,-1506
42,Yukitaka Fukita,japonia,62,-1509
43,Jaroslav Kahanek,czechy,61,-1510
44,Christof Duffner,niemcy,57,-1514
45,Ingemar Mayr,austria,51,-1520
46,Werner Haim,austria,50,-1521
47,Tero Koponen,finlandia,49,-1522
48,Frode Haare,norwegia,48,-1523
,Andreas Scherer,niemcy,48,-1523
50,Helge Brendryen,norwegia,41,-1530
51,Bjoern Myrbakken,norwegia,40,-1531
,Adam Małysz,polska,40,-1531
53,Martin Höllwarth,austria,37,-1534
54,Risto Jussilainen,finlandia,34,-1537
55,Kent Johanssen,norwegia,32,-1539
56,Wojciech Skupień,polska,30,-1541
,Jerome Gay,francja,30,-1541
58,Ivo Pertile,wlochy,29,-1542
59,Werner Rathmayr,austria,27,-1544
,Samo Gostisa,slowenia,27,-1544
,Johan Rasmussen,szwecja,27,-1544
,Masahiko Harada,japonia,27,-1544
63,Ronny Hornschuh,niemcy,26,-1545
,Kazuhiro Higashi,japonia,26,-1545
,Sven Hannawald,niemcy,26,-1545
,Mikael Martinsson,szwecja,26,-1545
67,Kimmo Savolainen,finlandia,24,-1547
,Vaesa Hakala,finlandia,24,-1547
,Heinz Kuttin,austria,24,-1547
70,Yannick Revuz,francja,23,-1548
,Tero Turkki,finlandia,23,-1548
72,Matjaz Kladnik,slowenia,22,-1549
73,Sturle Holseter,norwegia,20,-1551
,Stein-Henrik Tuff,norwegia,20,-1551
75,Ladislav Dluhos,czechy,18,-1553
76,Erik Halvorsen,norwegia,13,-1558
,Kazuya Yoshioka,japonia,13,-1558
,Alf Dyblie,norwegia,13,-1558
79,Steffen Siebert,niemcy,12,-1559
80,Janne Vaeaetaeinen,finlandia,11,-1560
81,Stephan Zuend,szwajcaria,10,-1561
82,Alexander Herr,niemcy,9,-1562
,Marian Bielcik,slowacja,9,-1562
,Jani Salo,finlandia,9,-1562
,Hitoshi Sakurai,japonia,9,-1562
86,Sepp  Zehnder Jr.,szwajcaria,8,-1563
,Jani Klinga,finlandia,8,-1563
88,Masayuki Sato,japonia,6,-1565
89,Jostein Smeby,norwegia,5,-1566
90,Jun Shibuya,japonia,4,-1567
91,Takayuki Sasaki,japonia,3,-1568
,Gerhard Schallert,austria,3,-1568
93,Werner Schuster,austria,1,-1570
,Zoran Zupancic,slowenia,1,-1570
,Kurt Boerseth,norwegia,1,-1570
,Marko Bogataj,slowenia,1,-1570
