Position,Competitor,Country,Points,Gap
1,Gregor Schlierenzauer,austria,1620,
2,Anders Bardal,norwegia,999,-621
3,Kamil Stoch,polska,953,-667
4,Severin Freund,niemcy,923,-697
5,Anders Jacobsen,norwegia,878,-742
6,Robert Kranjec,slowenia,802,-818
7,Peter Prevc,slowenia,744,-876
8,Richard Freitag,niemcy,736,-884
9,Michael Neumayer,niemcy,678,-942
10,Jan Matura,czechy,631,-989
11,Tom Hilde,norwegia,618,-1002
12,Wolfgang Loitzl,austria,592,-1028
13,Jurij Tepes,slowenia,571,-1049
14,Simon Ammann,szwajcaria,553,-1067
15,Piotr Żyła,polska,485,-1135
16,Jaka Hvala,slowenia,480,-1140
17,Andreas Kofler,austria,473,-1147
18,Maciej Kot,polska,460,-1160
19,Andreas Stjernen,norwegia,418,-1202
20,Andreas Wellinger,niemcy,393,-1227
21,Taku Takeuchi,japonia,381,-1239
22,Dmitriy Vassiliev,rosja,372,-1248
23,Rune Velta,norwegia,337,-1283
24,Noriaki Kasai,japonia,328,-1292
25,Thomas Morgenstern,austria,312,-1308
26,Daiki Ito,japonia,298,-1322
,Anders Fannemel,norwegia,298,-1322
28,Andreas Wank,niemcy,287,-1333
29,Martin Koch,austria,219,-1401
30,Manuel Fettner,austria,211,-1409
31,Stefan Kraft,austria,202,-1418
32,Denis Kornilov,rosja,190,-1430
33,Vladimir Zografski,bulgaria,183,-1437
34,Michael Hayboeck,austria,163,-1457
35,Lukas Hlava,czechy,159,-1461
36,Dawid Kubacki,polska,142,-1478
37,Sebastian Colloredo,wlochy,111,-1509
38,Krzysztof Miętus,polska,103,-1517
39,Martin Schmitt,niemcy,98,-1522
40,Reruhi Shimizu,japonia,94,-1526
41,Karl Geiger,niemcy,86,-1534
42,Vincent Descombes Sevoie,francja,85,-1535
43,Maximilian Mechler,niemcy,66,-1554
44,Gregor Deschwanden,szwajcaria,58,-1562
45,Antonin Hajek,czechy,56,-1564
46,Lauri Asikainen,finlandia,50,-1570
47,Cestmir Kozisek,czechy,46,-1574
48,Matjaz Pungertar,slowenia,45,-1575
49,Roman Koudelka,czechy,40,-1580
,Kaarel Nurmsalu,estonia,40,-1580
51,Danny Queck,niemcy,37,-1583
52,Ilja Rosliakov,rosja,31,-1589
53,Yuta Watase,japonia,30,-1590
54,Stefan Hula,polska,28,-1592
55,Mackenzie Boyd-Clowes,kanada,27,-1593
56,Kim Rene Elverum Sorsell,norwegia,25,-1595
57,Andraz Pograjc,slowenia,22,-1598
58,Olli Muotka,finlandia,21,-1599
,Peter Frenette,usa,21,-1599
60,Junshiro Kobayashi,japonia,17,-1603
61,Alexey Romashov,rosja,14,-1606
62,Jakub Janda,czechy,13,-1607
63,Marinus Kraus,niemcy,12,-1608
,Andrea Morassi,wlochy,12,-1608
65,Jan Ziobro,polska,11,-1609
66,Vegard Swensen,norwegia,9,-1611
,Janne Happonen,finlandia,9,-1611
68,Aleksander Zniszczoł,polska,8,-1612
,Felix Schoft,niemcy,8,-1612
,Kento Sakuyama,japonia,8,-1612
,Fredrik Bjerkeengen,norwegia,8,-1612
,Ole Marius Ingvaldsen,norwegia,8,-1612
73,Lukas Mueller,austria,7,-1613
,Ville Larinto,finlandia,7,-1613
75,Klemens Murańka,polska,6,-1614
76,Davide Bresadola,wlochy,5,-1615
77,Atle Pedersen Roensen,norwegia,4,-1616
78,Simen Key Grimsrud,norwegia,3,-1617
79,Hiroaki Watanabe,japonia,2,-1618
,Anton Kalinitschenko,rosja,2,-1618
81,Krzysztof Biegun,polska,1,-1619
