Position,Competitor,Country,Points,Gap
1,Ryoyu Kobayashi,japonia,1621,
2,Karl Geiger,niemcy,1515,-106
3,Marius Lindvik,norwegia,1231,-390
4,Halvor Egner Granerud,norwegia,1227,-394
5,Stefan Kraft,austria,1069,-552
6,Markus Eisenbichler,niemcy,950,-671
7,Anze Lanisek,slowenia,936,-685
8,Timi Zajc,slowenia,711,-910
9,Jan Hoerl,austria,662,-959
10,Cene Prevc,slowenia,657,-964
11,Daniel Huber,austria,556,-1065
12,Robert Johansson,norwegia,531,-1090
13,Yukiya Sato,japonia,530,-1091
14,Piotr Żyła,polska,480,-1141
15,Peter Prevc,slowenia,460,-1161
16,Killian Peier,szwajcaria,451,-1170
17,Manuel Fettner,austria,424,-1197
18,Lovro Kos,slowenia,403,-1218
19,Kamil Stoch,polska,397,-1224
20,Ziga Jelar,slowenia,389,-1232
21,Daniel Andre Tande,norwegia,339,-1282
22,Stephan Leyhe,niemcy,333,-1288
23,Constantin Schmid,niemcy,332,-1289
24,Johann Andre Forfang,norwegia,303,-1318
25,Daniel Tschofenig,austria,251,-1370
26,Gregor Deschwanden,szwajcaria,243,-1378
27,Dawid Kubacki,polska,231,-1390
28,Philipp Aschenwald,austria,220,-1401
29,Andreas Wellinger,niemcy,219,-1402
30,Severin Freund,niemcy,211,-1410
31,Naoki Nakamura,japonia,196,-1425
32,Junshiro Kobayashi,japonia,179,-1442
33,Pius Paschke,niemcy,174,-1447
34,Evgenii Klimov,rosja,163,-1458
35,Clemens Aigner,austria,153,-1468
36,Ulrich Wohlgenannt,austria,133,-1488
37,Michael Hayboeck,austria,117,-1504
38,Danil Sadreev,rosja,101,-1520
39,Daiki Ito,japonia,88,-1533
40,Eetu Nousiainen,finlandia,65,-1556
41,Simon Ammann,szwajcaria,64,-1557
42,Fredrik Villumstad,norwegia,62,-1559
43,Paweł Wąsek,polska,61,-1560
44,Domen Prevc,slowenia,60,-1561
45,Thomas Lackner,austria,49,-1572
46,Bendik Jakobsen Heggli,norwegia,48,-1573
47,Jakub Wolny,polska,46,-1575
48,Justin Lisso,niemcy,44,-1577
49,Keiichi Sato,japonia,38,-1583
50,Niko Kytosaho,finlandia,35,-1586
,Vladimir Zografski,bulgaria,35,-1586
52,Markus Mueller,austria,34,-1587
53,Markus Schiffner,austria,31,-1590
,Robin Pedersen,norwegia,31,-1590
55,Artti Aigro,estonia,30,-1591
56,Roman Trofimov,rosja,29,-1592
57,Dominik Peter,szwajcaria,23,-1598
58,Antti Aalto,finlandia,22,-1599
59,Richard Freitag,niemcy,20,-1601
60,Andrzej Stękała,polska,19,-1602
61,Anze Semenic,slowenia,17,-1604
62,Philipp Raimund,niemcy,16,-1605
63,Mackenzie Boyd-Clowes,kanada,15,-1606
64,Mikhail Nazarov,rosja,10,-1611
65,Bor Pavlovcic,slowenia,9,-1612
66,Maximilian Steiner,austria,8,-1613
,Aleksander Zniszczoł,polska,8,-1613
,Decker Dean,usa,8,-1613
69,Markus Rupitsch,austria,7,-1614
,Joacim Oedegaard Bjoereng,norwegia,7,-1614
71,Giovanni Bresadola,wlochy,6,-1615
,Anders Fannemel,norwegia,6,-1615
,Aleksandr Bazhenov,rosja,6,-1615
74,Stefan Hula,polska,4,-1617
,Roman Koudelka,czechy,4,-1617
76,Fatih Arda Ipcioglu,turcja,2,-1619
