Position,Competitor,Country,Points,Gap
1,Halvor Egner Granerud,norwegia,1572,
2,Markus Eisenbichler,niemcy,1190,-382
3,Kamil Stoch,polska,955,-617
4,Ryoyu Kobayashi,japonia,919,-653
5,Robert Johansson,norwegia,884,-688
6,Karl Geiger,niemcy,826,-746
7,Piotr Żyła,polska,825,-747
8,Dawid Kubacki,polska,786,-786
9,Anze Lanisek,slowenia,775,-797
10,Marius Lindvik,norwegia,612,-960
11,Yukiya Sato,japonia,581,-991
12,Daniel Huber,austria,561,-1011
13,Bor Pavlovcic,slowenia,559,-1013
14,Daniel Andre Tande,norwegia,543,-1029
15,Pius Paschke,niemcy,514,-1058
16,Andrzej Stękała,polska,473,-1099
17,Stefan Kraft,austria,429,-1143
18,Michael Hayboeck,austria,347,-1225
19,Johann Andre Forfang,norwegia,338,-1234
20,Keiichi Sato,japonia,291,-1281
21,Philipp Aschenwald,austria,265,-1307
22,Domen Prevc,slowenia,241,-1331
23,Peter Prevc,slowenia,230,-1342
24,Martin Hamann,niemcy,216,-1356
25,Ziga Jelar,slowenia,207,-1365
26,Gregor Deschwanden,szwajcaria,206,-1366
27,Jakub Wolny,polska,195,-1377
28,Mikhail Nazarov,rosja,176,-1396
29,Severin Freund,niemcy,160,-1412
30,Constantin Schmid,niemcy,151,-1421
31,Klemens Murańka,polska,141,-1431
32,Mackenzie Boyd-Clowes,kanada,115,-1457
33,Junshiro Kobayashi,japonia,113,-1459
34,Naoki Nakamura,japonia,111,-1461
35,Evgenii Klimov,rosja,110,-1462
36,Thomas Lackner,austria,93,-1479
37,Antti Aalto,finlandia,90,-1482
38,Cene Prevc,slowenia,83,-1489
39,Jan Hoerl,austria,82,-1490
40,Aleksander Zniszczoł,polska,81,-1491
41,Simon Ammann,szwajcaria,77,-1495
42,Markus Schiffner,austria,76,-1496
43,Artti Aigro,estonia,63,-1509
,Sander Vossan Eriksen,norwegia,63,-1509
45,Paweł Wąsek,polska,62,-1510
46,Timi Zajc,slowenia,60,-1512
47,Tilen Bartol,slowenia,58,-1514
48,Anders Haare,norwegia,52,-1520
49,Manuel Fettner,austria,50,-1522
50,Niko Kytosaho,finlandia,47,-1525
51,Daniel Tschofenig,austria,30,-1542
,Anze Semenic,slowenia,30,-1542
53,Clemens Leitner,austria,27,-1545
54,Dominik Peter,szwajcaria,25,-1547
55,Daiki Ito,japonia,21,-1551
56,Vladimir Zografski,bulgaria,19,-1553
,Roman Trofimov,rosja,19,-1553
58,Ulrich Wohlgenannt,austria,17,-1555
,Maciej Kot,polska,17,-1555
60,Maximilian Steiner,austria,15,-1557
,Thomas Aasen Markeng,norwegia,15,-1557
62,Lovro Kos,slowenia,14,-1558
63,David Haagen,austria,13,-1559
64,Timon-Pascal Kahofer,austria,9,-1563
65,Gregor Schlierenzauer,austria,8,-1564
,Giovanni Bresadola,wlochy,8,-1564
67,Danil Sadreev,rosja,6,-1566
68,Denis Kornilov,rosja,5,-1567
69,Viktor Polasek,czechy,4,-1568
,Richard Freitag,niemcy,4,-1568
71,Jernej Presecnik,slowenia,3,-1569
,Jarkko Maatta,finlandia,3,-1569
,Casey Larson,usa,3,-1569
74,Cestmir Kozisek,czechy,2,-1570
,Stefan Hula,polska,2,-1570
76,Matthew Soukup,kanada,1,-1571
,Tomasz Pilch,polska,1,-1571
,Alex Insam,wlochy,1,-1571
