Position,Competitor,Country,Points,Gap
1,Thomas Morgenstern,austria,1794,
2,Gregor Schlierenzauer,austria,1561,-233
3,Janne Ahonen,finlandia,1291,-503
4,Tom Hilde,norwegia,1228,-566
5,Anders Bardal,norwegia,942,-852
6,Anders Jacobsen,norwegia,827,-967
7,Andreas Küttel,szwajcaria,778,-1016
8,Janne Happonen,finlandia,755,-1039
9,Simon Ammann,szwajcaria,728,-1066
10,Wolfgang Loitzl,austria,715,-1079
11,Bjoern Einar Romoeren,norwegia,690,-1104
12,Adam Małysz,polska,632,-1162
13,Andreas Kofler,austria,627,-1167
14,Martin Koch,austria,569,-1225
15,Jernej Damjan,slowenia,522,-1272
16,Michael Neumayer,niemcy,507,-1287
17,Roman Koudelka,czechy,411,-1383
18,Dmitriy Vassiliev,rosja,288,-1506
19,Martin Schmitt,niemcy,273,-1521
,Matti Hautamäki,finlandia,273,-1521
21,Arthur Pauli,austria,261,-1533
22,Denis Kornilov,rosja,247,-1547
23,David Lazzaroni,francja,239,-1555
24,Emmanuel Chedal,francja,234,-1560
25,Robert Kranjec,slowenia,233,-1561
26,Harri Olli,finlandia,210,-1584
27,Michael Uhrmann,niemcy,185,-1609
28,Taku Takeuchi,japonia,180,-1614
29,Manuel Fettner,austria,160,-1634
30,Kamil Stoch,polska,157,-1637
31,Daiki Ito,japonia,133,-1661
32,Pavel Karelin,rosja,129,-1665
33,Sigurd Pettersen,norwegia,128,-1666
34,Noriaki Kasai,japonia,122,-1672
35,Shohei Tochimoto,japonia,109,-1685
36,Georg Späth,niemcy,106,-1688
37,Lars Bystoel,norwegia,99,-1695
,Roar Ljoekelsoey,norwegia,99,-1695
39,Sebastian Colloredo,wlochy,76,-1718
40,Primoz Peterka,slowenia,72,-1722
41,Martin Cikl,czechy,60,-1734
42,Guido Landert,szwajcaria,46,-1748
43,Antonin Hajek,czechy,44,-1750
44,Jan Matura,czechy,39,-1755
45,Stephan Hocke,niemcy,38,-1756
46,Radik Zhaparov,kazachstan,36,-1758
47,Henning Stensrud,norwegia,35,-1759
,Borek Sedlak,czechy,35,-1759
49,Kalle Keituri,finlandia,29,-1765
,Jakub Janda,czechy,29,-1765
51,Jon Aaraas,norwegia,28,-1766
52,Arttu Lappi,finlandia,27,-1767
53,Martin Höllwarth,austria,26,-1768
,Andreas Vilberg,norwegia,26,-1768
55,Roland Mueller,austria,23,-1771
56,Ilja Rosliakov,rosja,21,-1773
,Jurij Tepes,slowenia,21,-1773
58,Veli-Matti Lindström,finlandia,18,-1776
,Vincent Descombes Sevoie,francja,18,-1776
,Mario Innauer,austria,18,-1776
,Fumihisa Yumoto,japonia,18,-1776
,Nikolay Karpenko,kazachstan,18,-1776
63,Takanobu Okabe,japonia,16,-1778
,Jure Bogataj,slowenia,16,-1778
,Dimitry Ipatov,rosja,16,-1778
66,Balthasar Schneider,austria,15,-1779
,Andrea Morassi,wlochy,15,-1779
68,Jussi Hautamäki,finlandia,12,-1782
,Bastian Kaltenböck,austria,12,-1782
,Severin Freund,niemcy,12,-1782
71,Andreas Wank,niemcy,11,-1783
72,Stefan Hula,polska,10,-1784
,Sami Niemi,finlandia,10,-1784
74,Andreas Aren,szwecja,8,-1786
75,Akira Higashi,japonia,7,-1787
76,Heung Chul Choi,korea,6,-1788
,Jörg Ritzerfeld,niemcy,6,-1788
78,Marcin Bachleda,polska,5,-1789
,Primoz Pikl,slowenia,5,-1789
80,Stefan Kaiser,austria,3,-1791
,Yuta Watase,japonia,3,-1791
82,Ville Larinto,finlandia,2,-1792
,Jiri Mazoch,czechy,2,-1792
84,Johan Erikson,szwecja,1,-1793
