Position,Competitor,Country,Points,Gap
1,Kamil Stoch,polska,1420,
2,Peter Prevc,slowenia,1312,-108
3,Severin Freund,niemcy,1303,-117
4,Anders Bardal,norwegia,1071,-349
5,Noriaki Kasai,japonia,1062,-358
6,Gregor Schlierenzauer,austria,943,-477
7,Simon Ammann,szwajcaria,733,-687
8,Thomas Diethart,austria,666,-754
9,Andreas Wellinger,niemcy,601,-819
10,Stefan Kraft,austria,539,-881
11,Robert Kranjec,slowenia,493,-927
12,Andreas Kofler,austria,468,-952
13,Jernej Damjan,slowenia,457,-963
14,Michael Hayboeck,austria,439,-981
15,Thomas Morgenstern,austria,438,-982
16,Marinus Kraus,niemcy,407,-1013
17,Maciej Kot,polska,398,-1022
18,Jurij Tepes,slowenia,360,-1060
19,Anssi Koivuranta,finlandia,350,-1070
20,Piotr Żyła,polska,343,-1077
21,Daiki Ito,japonia,335,-1085
22,Taku Takeuchi,japonia,333,-1087
23,Anders Fannemel,norwegia,328,-1092
24,Richard Freitag,niemcy,313,-1107
25,Jan Ziobro,polska,312,-1108
26,Jan Matura,czechy,311,-1109
27,Michael Neumayer,niemcy,281,-1139
28,Jakub Janda,czechy,242,-1178
29,Wolfgang Loitzl,austria,226,-1194
30,Rune Velta,norwegia,201,-1219
31,Janne Ahonen,finlandia,176,-1244
32,Reruhi Shimizu,japonia,173,-1247
,Gregor Deschwanden,szwajcaria,173,-1247
34,Andreas Wank,niemcy,171,-1249
35,Krzysztof Biegun,polska,144,-1276
36,Tomaz Naglic,slowenia,140,-1280
37,Nejc Dezman,slowenia,137,-1283
38,Klemens Murańka,polska,132,-1288
39,Roman Koudelka,czechy,123,-1297
40,Dmitriy Vassiliev,rosja,115,-1305
41,Antonin Hajek,czechy,108,-1312
42,Karl Geiger,niemcy,106,-1314
43,Andreas Stjernen,norwegia,103,-1317
44,Manuel Poppinger,austria,99,-1321
,Markus Eisenbichler,niemcy,99,-1321
46,Manuel Fettner,austria,98,-1322
47,Ole Marius Ingvaldsen,norwegia,96,-1324
48,Tom Hilde,norwegia,92,-1328
49,Dawid Kubacki,polska,87,-1333
50,Jaka Hvala,slowenia,84,-1336
51,Anders Jacobsen,norwegia,82,-1338
52,Yuta Watase,japonia,78,-1342
53,Lauri Asikainen,finlandia,77,-1343
54,Mikhail Maksimochkin,rosja,65,-1355
55,Mackenzie Boyd-Clowes,kanada,62,-1358
56,Jarkko Maatta,finlandia,61,-1359
57,Lukas Hlava,czechy,53,-1367
,Denis Kornilov,rosja,53,-1367
59,Kaarel Nurmsalu,estonia,52,-1368
60,Ronan Lamy Chappuis,francja,44,-1376
61,Robert Johansson,norwegia,43,-1377
62,Davide Bresadola,wlochy,36,-1384
63,Olli Muotka,finlandia,31,-1389
64,Daniel Andre Tande,norwegia,30,-1390
65,Ville Larinto,finlandia,27,-1393
66,Danny Queck,niemcy,25,-1395
67,Roberto Dellasega,wlochy,24,-1396
68,Vincent Descombes Sevoie,francja,21,-1399
,Alexey Romashov,rosja,21,-1399
70,Cene Prevc,slowenia,19,-1401
,Robert Hrgota,slowenia,19,-1401
72,Martin Koch,austria,16,-1404
,Matjaz Pungertar,slowenia,16,-1404
74,Rok Justin,slowenia,15,-1405
,Bjoern Einar Romoeren,norwegia,15,-1405
76,Janne Happonen,finlandia,11,-1409
77,Sami Heiskanen,finlandia,7,-1413
78,Martin Schmitt,niemcy,4,-1416
79,Nicholas Fairall,usa,3,-1417
,Shohei Tochimoto,japonia,3,-1417
,Stefan Hula,polska,3,-1417
82,Krzysztof Miętus,polska,1,-1419
,Daito Takahashi,japonia,1,-1419
,Pascal Kaelin,szwajcaria,1,-1419
,Simen Key Grimsrud,norwegia,1,-1419
