Position,Competitor,Country,Points,Gap
1,Halvor Egner Granerud,norwegia,2128,
2,Stefan Kraft,austria,1790,-338
3,Anze Lanisek,slowenia,1679,-449
4,Dawid Kubacki,polska,1592,-536
5,Ryoyu Kobayashi,japonia,1065,-1063
6,Piotr Żyła,polska,984,-1144
7,Andreas Wellinger,niemcy,902,-1226
8,Timi Zajc,slowenia,853,-1275
9,Daniel Tschofenig,austria,851,-1277
10,Manuel Fettner,austria,755,-1373
11,Karl Geiger,niemcy,736,-1392
12,Michael Hayboeck,austria,688,-1440
13,Jan Hoerl,austria,639,-1489
14,Kamil Stoch,polska,608,-1520
15,Markus Eisenbichler,niemcy,607,-1521
16,Johann Andre Forfang,norwegia,574,-1554
17,Ziga Jelar,slowenia,498,-1630
18,Daniel Andre Tande,norwegia,449,-1679
,Domen Prevc,slowenia,449,-1679
20,Marius Lindvik,norwegia,393,-1735
21,Robert Johansson,norwegia,387,-1741
22,Lovro Kos,slowenia,309,-1819
23,Constantin Schmid,niemcy,280,-1848
24,Naoki Nakamura,japonia,275,-1853
25,Peter Prevc,slowenia,274,-1854
26,Gregor Deschwanden,szwajcaria,270,-1858
27,Kristoffer Eriksen Sundal,norwegia,246,-1882
28,Stephan Leyhe,niemcy,231,-1897
29,Clemens Aigner,austria,227,-1901
30,Philipp Raimund,niemcy,218,-1910
31,Paweł Wąsek,polska,190,-1938
32,Aleksander Zniszczoł,polska,181,-1947
33,Giovanni Bresadola,wlochy,170,-1958
34,Pius Paschke,niemcy,168,-1960
,Philipp Aschenwald,austria,168,-1960
36,Bendik Jakobsen Heggli,norwegia,85,-2043
37,Niko Kytosaho,finlandia,77,-2051
38,Antti Aalto,finlandia,69,-2059
39,Vladimir Zografski,bulgaria,63,-2065
40,Justin Lisso,niemcy,60,-2068
41,Clemens Leitner,austria,59,-2069
42,Rok Masle,slowenia,51,-2077
43,Ren Nikaido,japonia,49,-2079
44,Jan Habdas,polska,48,-2080
45,Dominik Peter,szwajcaria,44,-2084
46,Alex Insam,wlochy,40,-2088
47,Simon Ammann,szwajcaria,38,-2090
48,Mackenzie Boyd-Clowes,kanada,35,-2093
49,Artti Aigro,estonia,33,-2095
50,Tomasz Pilch,polska,30,-2098
51,Zak Mogel,slowenia,29,-2099
52,Jonas Schuster,austria,26,-2102
53,Sondre Ringen,norwegia,24,-2104
54,Yevhen Marusiak,ukraina,21,-2107
,Yukiya Sato,japonia,21,-2107
56,Joacim Oedegaard Bjoereng,norwegia,19,-2109
57,Kacper Juroszek,polska,18,-2110
58,Benjamin Oestvold,norwegia,17,-2111
,Erik Belshaw,usa,17,-2111
60,Fatih Arda Ipcioglu,turcja,16,-2112
,Maximilian Steiner,austria,16,-2112
62,Eetu Nousiainen,finlandia,15,-2113
63,Keiichi Sato,japonia,14,-2114
,Remo Imhof,szwajcaria,14,-2114
,Junshiro Kobayashi,japonia,14,-2114
66,Vilho Palosaari,finlandia,13,-2115
,Casey Larson,usa,13,-2115
68,Maksim Bartolj,slowenia,11,-2117
,Roman Koudelka,czechy,11,-2117
70,Fredrik Villumstad,norwegia,10,-2118
,Felix Hoffmann,niemcy,10,-2118
72,Markus Mueller,austria,8,-2120
73,Markus Rupitsch,austria,7,-2121
74,Decker Dean,usa,6,-2122
,Killian Peier,szwajcaria,6,-2122
76,Matija Vidic,slowenia,5,-2123
,Andrew Urlaub,usa,5,-2123
78,Anders Fannemel,norwegia,4,-2124
,Stefan Hula,polska,4,-2124
,Maciej Kot,polska,4,-2124
81,Maximilian Ortner,austria,3,-2125
82,Daniel Andrei Cacina,rumunia,2,-2126
,Taku Takeuchi,japonia,2,-2126
,Danil Vassilyev,kazachstan,2,-2126
85,Ulrich Wohlgenannt,austria,1,-2127
,Radek Rydl,czechy,1,-2127
,Kevin Maltsev,estonia,1,-2127
