Position,Competitor,Country,Points,Gap
1,Jakub Janda,czechy,1151,
2,Janne Ahonen,finlandia,1024,-127
3,Andreas Küttel,szwajcaria,980,-171
4,Roar Ljoekelsoey,norwegia,875,-276
5,Thomas Morgenstern,austria,846,-305
6,Bjoern Einar Romoeren,norwegia,757,-394
7,Andreas Kofler,austria,699,-452
8,Michael Uhrmann,niemcy,681,-470
9,Adam Małysz,polska,634,-517
10,Andreas Widhölzl,austria,594,-557
11,Matti Hautamäki,finlandia,563,-588
12,Takanobu Okabe,japonia,500,-651
13,Lars Bystoel,norwegia,495,-656
14,Janne Happonen,finlandia,484,-667
15,Martin Koch,austria,383,-768
16,Robert Kranjec,slowenia,327,-824
17,Simon Ammann,szwajcaria,305,-846
18,Georg Späth,niemcy,282,-869
19,Daiki Ito,japonia,267,-884
20,Tami Kiuru,finlandia,265,-886
21,Noriaki Kasai,japonia,249,-902
22,Dmitriy Vassiliev,rosja,240,-911
23,Tommy Ingebrigtsen,norwegia,208,-943
24,Michael Neumayer,niemcy,205,-946
25,Jernej Damjan,slowenia,172,-979
26,Rok Benkovic,slowenia,164,-987
27,Anders Bardal,norwegia,161,-990
28,Alexander Herr,niemcy,158,-993
29,Wolfgang Loitzl,austria,156,-995
30,Joonas Ikonen,finlandia,155,-996
,Risto Jussilainen,finlandia,155,-996
32,Primoz Peterka,slowenia,151,-1000
33,Henning Stensrud,norwegia,145,-1006
34,Jan Matura,czechy,121,-1030
35,Sigurd Pettersen,norwegia,118,-1033
36,Harri Olli,finlandia,90,-1061
37,Daniel Forfang,norwegia,82,-1069
38,Sebastian Colloredo,wlochy,81,-1070
39,Martin Schmitt,niemcy,64,-1087
40,Martin Höllwarth,austria,59,-1092
41,Reinhard Schwarzenberger,austria,57,-1094
42,Michael Möllinger,szwajcaria,50,-1101
,Manuel Fettner,austria,50,-1101
44,Yukio Sakano,japonia,42,-1109
45,Kamil Stoch,polska,41,-1110
,Denis Kornilov,rosja,41,-1110
47,Guido Landert,szwajcaria,40,-1111
48,Tsuyoshi Ichinohe,japonia,34,-1117
49,Kazuya Yoshioka,japonia,29,-1122
50,Shingo Ueno,japonia,26,-1125
51,Piotr Żyła,polska,23,-1128
52,Morten Solem,norwegia,22,-1129
53,Kimmo Yliriesto,finlandia,20,-1131
54,Stefan Hula,polska,19,-1132
,Ivan Karaulov,kazachstan,19,-1132
56,David Lazzaroni,francja,18,-1133
,Jörg Ritzerfeld,niemcy,18,-1133
,Primoz Pikl,slowenia,18,-1133
59,Jens Salumäe,estonia,16,-1135
60,Rafał Śliż,polska,15,-1136
,Hideharu Miyahira,japonia,15,-1136
62,Tom Hilde,norwegia,12,-1139
63,Andrea Morassi,wlochy,11,-1140
,Bine Zupan,slowenia,11,-1140
65,Stefan Read,kanada,10,-1141
,Jure Sinkovec,slowenia,10,-1141
,Hyun-Ki Kim,korea,10,-1141
68,Emmanuel Chedal,francja,9,-1142
,Balthasar Schneider,austria,9,-1142
,Julian Musiol,niemcy,9,-1142
71,Jure Radelj,slowenia,8,-1143
,Dimitry Ipatov,rosja,8,-1143
73,Gregor Schlierenzauer,austria,7,-1144
,Hiroki Yamada,japonia,7,-1144
75,Radik Zhaparov,kazachstan,6,-1145
76,Alan Alborn,usa,5,-1146
,Jan Mazoch,czechy,5,-1146
,Antonin Hajek,czechy,5,-1146
79,Robert Mateja,polska,4,-1147
,Rok Urbanc,slowenia,4,-1147
,Ondrej Vaculik,czechy,4,-1147
82,Borek Sedlak,czechy,2,-1149
,Martin Mesik,slowacja,2,-1149
,Stephan Hocke,niemcy,2,-1149
85,Yuta Watase,japonia,1,-1150
,Daniel Lackner,austria,1,-1150
