Position,Competitor,Country,Points,Gap
1,Simon Ammann,szwajcaria,1649,
2,Gregor Schlierenzauer,austria,1368,-281
3,Thomas Morgenstern,austria,944,-705
4,Andreas Kofler,austria,893,-756
5,Adam Małysz,polska,842,-807
6,Wolfgang Loitzl,austria,760,-889
7,Anders Jacobsen,norwegia,557,-1092
8,Martin Koch,austria,545,-1104
9,Bjoern Einar Romoeren,norwegia,517,-1132
10,Robert Kranjec,slowenia,503,-1146
11,Janne Ahonen,finlandia,494,-1155
12,Michael Uhrmann,niemcy,424,-1225
13,David Zauner,austria,403,-1246
14,Harri Olli,finlandia,367,-1282
15,Emmanuel Chedal,francja,365,-1284
16,Daiki Ito,japonia,359,-1290
17,Noriaki Kasai,japonia,344,-1305
18,Johan Remen Evensen,norwegia,337,-1312
19,Pascal Bodmer,niemcy,336,-1313
20,Michael Neumayer,niemcy,285,-1364
21,Andreas Wank,niemcy,259,-1390
22,Jakub Janda,czechy,256,-1393
23,Antonin Hajek,czechy,230,-1419
24,Kamil Stoch,polska,203,-1446
25,Stefan Thurnbichler,austria,201,-1448
26,Tom Hilde,norwegia,180,-1469
27,Matti Hautamäki,finlandia,154,-1495
28,Dmitriy Vassiliev,rosja,151,-1498
29,Martin Schmitt,niemcy,150,-1499
30,Roar Ljoekelsoey,norwegia,140,-1509
31,Jernej Damjan,slowenia,134,-1515
32,Shohei Tochimoto,japonia,124,-1525
33,Andreas Küttel,szwajcaria,111,-1538
34,Kalle Keituri,finlandia,110,-1539
35,Peter Prevc,slowenia,106,-1543
36,Anders Bardal,norwegia,99,-1550
37,Sebastian Colloredo,wlochy,96,-1553
38,Fumihisa Yumoto,japonia,84,-1565
39,Mario Innauer,austria,82,-1567
,Manuel Fettner,austria,82,-1567
41,Łukasz Rutkowski,polska,79,-1570
42,Severin Freund,niemcy,75,-1574
43,Lukas Mueller,austria,71,-1578
44,Mitja Meznar,slowenia,64,-1585
45,Andrea Morassi,wlochy,60,-1589
,Krzysztof Miętus,polska,60,-1589
47,Vincent Descombes Sevoie,francja,59,-1590
48,Lukas Hlava,czechy,56,-1593
49,Taku Takeuchi,japonia,54,-1595
,Michael Hayboeck,austria,54,-1595
,Janne Happonen,finlandia,54,-1595
52,Borek Sedlak,czechy,51,-1598
53,Jan Matura,czechy,45,-1604
54,Georg Späth,niemcy,42,-1607
55,Olli Muotka,finlandia,41,-1608
56,Andreas Stjernen,norwegia,36,-1613
57,Pavel Karelin,rosja,34,-1615
58,Primoz Pikl,slowenia,33,-1616
59,Marcin Bachleda,polska,32,-1617
60,Denis Kornilov,rosja,26,-1623
,Anders Fannemel,norwegia,26,-1623
62,Martin Cikl,czechy,23,-1626
63,Roman Koudelka,czechy,20,-1629
,Stefan Hula,polska,20,-1629
,Grzegorz Miętus,polska,20,-1629
66,Yukio Sakano,japonia,17,-1632
67,Ville Larinto,finlandia,16,-1633
68,Vitaliy Shumbarets,ukraina,13,-1636
69,Vegard-Haukoe Sklett,norwegia,11,-1638
,Akseli Kokkonen,norwegia,11,-1638
71,Jurij Tepes,slowenia,10,-1639
,Kento Sakuyama,japonia,10,-1639
73,Kazuya Yoshioka,japonia,9,-1640
74,Maximilian Mechler,niemcy,8,-1641
75,Yuta Watase,japonia,7,-1642
76,Dimitry Ipatov,rosja,6,-1643
77,Kimmo Yliriesto,finlandia,5,-1644
,Florian Schabereiter,austria,5,-1644
79,Robert Hrgota,slowenia,4,-1645
80,Ilja Rosliakov,rosja,3,-1646
,Stephan Hocke,niemcy,3,-1646
82,Akira Higashi,japonia,2,-1647
,Alexey Korolev,kazachstan,2,-1647
,Hyun-Ki Kim,korea,2,-1647
,Atle Pedersen Roensen,norwegia,2,-1647
,Kai Kovaljeff,finlandia,2,-1647
,Takanobu Okabe,japonia,2,-1647
,Roberto Dellasega,wlochy,2,-1647
,Nikolay Karpenko,kazachstan,2,-1647
90,Richard Freitag,niemcy,1,-1648
,Tobias Bogner,niemcy,1,-1648
,Kenneth Gangnes,norwegia,1,-1648
