Position,Competitor,Country,Points,Gap
1,Anders Bardal,norwegia,1325,
2,Gregor Schlierenzauer,austria,1267,-58
3,Andreas Kofler,austria,1203,-122
4,Daiki Ito,japonia,1131,-194
5,Kamil Stoch,polska,1078,-247
6,Richard Freitag,niemcy,1031,-294
7,Thomas Morgenstern,austria,1014,-311
8,Severin Freund,niemcy,857,-468
9,Robert Kranjec,slowenia,829,-496
10,Roman Koudelka,czechy,796,-529
11,Simon Ammann,szwajcaria,731,-594
12,Martin Koch,austria,690,-635
13,Taku Takeuchi,japonia,429,-896
14,Lukas Hlava,czechy,404,-921
15,Peter Prevc,slowenia,400,-925
16,Vegard-Haukoe Sklett,norwegia,343,-982
17,Rune Velta,norwegia,311,-1014
18,Anssi Koivuranta,finlandia,283,-1042
19,Piotr Żyła,polska,267,-1058
20,Denis Kornilov,rosja,251,-1074
21,Michael Neumayer,niemcy,236,-1089
22,Andreas Wank,niemcy,227,-1098
23,David Zauner,austria,216,-1109
24,Jurij Tepes,slowenia,204,-1121
25,Anders Fannemel,norwegia,185,-1140
,Jakub Janda,czechy,185,-1140
27,Maximilian Mechler,niemcy,180,-1145
28,Jure Sinkovec,slowenia,163,-1162
29,Tom Hilde,norwegia,158,-1167
30,Wolfgang Loitzl,austria,154,-1171
31,Janne Happonen,finlandia,152,-1173
32,Bjoern Einar Romoeren,norwegia,151,-1174
33,Jernej Damjan,slowenia,149,-1176
34,Sebastian Colloredo,wlochy,141,-1184
35,Maciej Kot,polska,108,-1217
36,Stephan Hocke,niemcy,107,-1218
37,Andreas Stjernen,norwegia,92,-1233
38,Andrea Morassi,wlochy,90,-1235
39,Dmitriy Vassiliev,rosja,84,-1241
40,Johan Remen Evensen,norwegia,72,-1253
41,Manuel Fettner,austria,71,-1254
42,Michael Hayboeck,austria,70,-1255
43,Kenneth Gangnes,norwegia,68,-1257
44,Jaka Hvala,slowenia,66,-1259
45,Vladimir Zografski,bulgaria,61,-1264
,Atle Pedersen Roensen,norwegia,61,-1264
47,Aleksander Zniszczoł,polska,60,-1265
48,Yuta Watase,japonia,58,-1267
49,Matti Hautamäki,finlandia,51,-1274
50,Krzysztof Miętus,polska,49,-1276
51,Noriaki Kasai,japonia,45,-1280
52,Jan Matura,czechy,40,-1285
,Junshiro Kobayashi,japonia,40,-1285
54,Vincent Descombes Sevoie,francja,39,-1286
55,Dejan Judez,slowenia,34,-1291
56,Klemens Murańka,polska,26,-1299
57,Shohei Tochimoto,japonia,23,-1302
58,Marco Grigoli,szwajcaria,22,-1303
59,Olli Muotka,finlandia,21,-1304
60,Anton Kalinitschenko,rosja,20,-1305
61,Nejc Dezman,slowenia,17,-1308
62,Johan Martin Brandt,norwegia,14,-1311
63,Dimitry Ipatov,rosja,13,-1312
64,Nicolas Mayer,francja,11,-1314
65,Martin Schmitt,niemcy,8,-1317
66,Emmanuel Chedal,francja,7,-1318
67,Felix Schoft,niemcy,6,-1319
68,Mackenzie Boyd-Clowes,kanada,5,-1320
69,Sami Niemi,finlandia,4,-1321
70,Martin Cikl,czechy,3,-1322
71,Markus Eisenbichler,niemcy,1,-1324
,Fumihisa Yumoto,japonia,1,-1324
