Position,Competitor,Country,Points,Gap
1,Martin Schmitt,niemcy,1753,
2,Janne Ahonen,finlandia,1695,-58
3,Noriaki Kasai,japonia,1598,-155
4,Kazuyoshi Funaki,japonia,1589,-164
5,Hideharu Miyahira,japonia,935,-818
6,Sven Hannawald,niemcy,896,-857
7,Andreas Widhölzl,austria,833,-920
8,Stefan Horngacher,austria,813,-940
9,Masahiko Harada,japonia,720,-1033
10,Dieter Thoma,niemcy,555,-1198
11,Tommy Ingebrigtsen,norwegia,512,-1241
12,Wolfgang Loitzl,austria,505,-1248
13,Kazuya Yoshioka,japonia,497,-1256
14,Nicolas Dessum,francja,454,-1299
15,Reinhard Schwarzenberger,austria,444,-1309
16,Morten Aagheim,norwegia,428,-1325
17,Andreas Goldberger,austria,400,-1353
18,Martin Höllwarth,austria,385,-1368
,Jakub Suchacek,czechy,385,-1368
20,Lasse Ottesen,norwegia,363,-1390
21,Christof Duffner,niemcy,359,-1394
22,Kristian Brenden,norwegia,344,-1409
23,Hiroya Saitoh,japonia,261,-1492
24,Hansjörg Jäkle,niemcy,223,-1530
25,Peter Zonta,slowenia,212,-1541
26,Ronny Hornschuh,niemcy,197,-1556
27,Primoz Peterka,slowenia,192,-1561
28,Ville Kantee,finlandia,183,-1570
29,Roar Ljoekelsoey,norwegia,173,-1580
30,Roberto Cecon,wlochy,169,-1584
31,Christian Meyer,norwegia,168,-1585
32,Olav Magne Dönnem,norwegia,167,-1586
33,Henning Stensrud,norwegia,160,-1593
,Mika Laitinen,finlandia,160,-1593
35,Jani Soininen,finlandia,151,-1602
36,Bruno Reuteler,szwajcaria,144,-1609
37,Alexander Herr,niemcy,141,-1612
38,Takanobu Okabe,japonia,102,-1651
39,Robert Mateja,polska,100,-1653
40,Kazuhiro Nakamura,japonia,96,-1657
41,Gerd Siegmund,niemcy,89,-1664
42,Sylvain Freiholz,szwajcaria,78,-1675
43,Risto Jussilainen,finlandia,72,-1681
44,Valery Kobelev,rosja,71,-1682
45,Kristoffer Jaafs,szwecja,61,-1692
46,Adam Małysz,polska,58,-1695
47,Tami Kiuru,finlandia,48,-1705
,Jakub Janda,czechy,48,-1705
49,Michal Dolezal,czechy,46,-1707
50,Lucas Chevalier-Girod,francja,45,-1708
51,Roland Audenrieth,niemcy,43,-1710
,Katsutoshi Chiba,japonia,43,-1710
53,Marco Steinauer,szwajcaria,39,-1714
54,Pekka Salminen,finlandia,37,-1716
55,Yoshikazu Norota,japonia,36,-1717
56,Damjan Fras,slowenia,34,-1719
57,Ivan Lunardi,wlochy,30,-1723
58,Jakub Jiroutek,czechy,29,-1724
,Yukitaka Fukita,japonia,29,-1724
60,Wilfried Eberharter,austria,28,-1725
61,Masayuki Sato,japonia,27,-1726
62,Urban Franc,slowenia,26,-1727
63,Yuta Watase,japonia,25,-1728
64,Artour Khamidoulline,rosja,23,-1730
,Kjell Erik Sagbakken,norwegia,23,-1730
66,Oddgeir Heimdal,norwegia,22,-1731
,Miha Rihtar,slowenia,22,-1731
68,Alan Alborn,usa,21,-1732
69,Andreas Küttel,szwajcaria,18,-1735
70,Kazuki Nishishita,japonia,15,-1738
71,Hitoshi Sakurai,japonia,14,-1739
,Tomas Plny,czechy,14,-1739
73,Jakub Hlava,czechy,13,-1740
74,Rico Parpan,szwajcaria,12,-1741
75,Leif Frey,niemcy,11,-1742
,Jon Petter Sandaker,norwegia,11,-1742
,Jaroslav Sakala,czechy,11,-1742
78,Wojciech Skupień,polska,10,-1743
,Janne Vaeaetaeinen,finlandia,10,-1743
80,Frode Haare,norwegia,9,-1744
,Matej Uram,slowacja,9,-1744
,Kazuhiro Higashi,japonia,9,-1744
,Blaz Vrhovnik,slowenia,9,-1744
84,Tom Age Aarnes,norwegia,8,-1745
,Primoz Zupan-Urh,slowenia,8,-1745
,Pavel Gaiduk,kazachstan,8,-1745
87,Jure Radelj,slowenia,7,-1746
,Frank Löffler,niemcy,7,-1746
89,Fabian Ebenhoch,austria,6,-1747
,Łukasz Kruczek,polska,6,-1747
91,Jinya Nishikata,japonia,5,-1748
,Bine Norcic,slowenia,5,-1748
,Marius Smariset,norwegia,5,-1748
,Jani Myllaeri,finlandia,5,-1748
95,Matthias Wallner,austria,4,-1749
,Falko Krismayr,austria,4,-1749
97,Milan Zivic,slowenia,3,-1750
,Jussi Hautamäki,finlandia,3,-1750
99,Karl-Heinz Dorner,austria,2,-1751
,Martin Koch,austria,2,-1751
101,Stanislav Filimonov,kazachstan,1,-1752
,Robert Krenek,czechy,1,-1752
,Jerome Gay,francja,1,-1752
,Espen Bredesen,norwegia,1,-1752
,Matti Hautamäki,finlandia,1,-1752
,Seou Choi,korea,1,-1752
,Akseli Lajunen,finlandia,1,-1752
,Lauri Hakola,finlandia,1,-1752
