Position,Competitor,Country,Points,Gap
1,Peter Prevc,slowenia,1729,
,Severin Freund,niemcy,1729,
3,Stefan Kraft,austria,1578,-151
4,Anders Fannemel,norwegia,1161,-568
5,Michael Hayboeck,austria,1157,-572
6,Noriaki Kasai,japonia,1137,-592
7,Roman Koudelka,czechy,1113,-616
8,Rune Velta,norwegia,848,-881
9,Kamil Stoch,polska,820,-909
10,Gregor Schlierenzauer,austria,739,-990
11,Simon Ammann,szwajcaria,646,-1083
12,Richard Freitag,niemcy,622,-1107
13,Jurij Tepes,slowenia,554,-1175
14,Jernej Damjan,slowenia,535,-1194
15,Markus Eisenbichler,niemcy,529,-1200
16,Daiki Ito,japonia,513,-1216
17,Anders Jacobsen,norwegia,511,-1218
18,Anders Bardal,norwegia,477,-1252
19,Piotr Żyła,polska,474,-1255
20,Taku Takeuchi,japonia,363,-1366
21,Michael Neumayer,niemcy,347,-1382
22,Marinus Kraus,niemcy,327,-1402
23,Johann Andre Forfang,norwegia,325,-1404
24,Nejc Dezman,slowenia,224,-1505
25,Matjaz Pungertar,slowenia,205,-1524
26,Robert Kranjec,slowenia,201,-1528
27,Gregor Deschwanden,szwajcaria,189,-1540
28,Vincent Descombes Sevoie,francja,179,-1550
29,Andreas Kofler,austria,173,-1556
30,Lauri Asikainen,finlandia,157,-1572
31,Phillip Sjoeen,norwegia,155,-1574
32,Jarkko Maatta,finlandia,151,-1578
33,Manuel Fettner,austria,146,-1583
34,Dmitriy Vassiliev,rosja,145,-1584
35,Andreas Wellinger,niemcy,137,-1592
36,Andreas Stjernen,norwegia,134,-1595
37,Manuel Poppinger,austria,128,-1601
38,Stephan Leyhe,niemcy,120,-1609
39,Tom Hilde,norwegia,118,-1611
40,Jan Matura,czechy,114,-1615
41,Kenneth Gangnes,norwegia,113,-1616
42,Klemens Murańka,polska,102,-1627
43,Thomas Diethart,austria,99,-1630
44,Junshiro Kobayashi,japonia,95,-1634
45,Daniel Andre Tande,norwegia,81,-1648
46,Shohei Tochimoto,japonia,79,-1650
47,Vladislav Boyarintsev,rosja,77,-1652
48,Aleksander Zniszczoł,polska,75,-1654
49,Kento Sakuyama,japonia,62,-1667
50,Jan Ziobro,polska,55,-1674
51,Andreas Wank,niemcy,54,-1675
52,Davide Bresadola,wlochy,48,-1681
53,Dawid Kubacki,polska,35,-1694
,Ville Larinto,finlandia,35,-1694
,Anze Semenic,slowenia,35,-1694
56,Jakub Janda,czechy,34,-1695
57,Ilmir Hazetdinov,rosja,32,-1697
58,Janne Ahonen,finlandia,29,-1700
59,Cene Prevc,slowenia,27,-1702
60,Mikhail Maksimochkin,rosja,26,-1703
61,Antonin Hajek,czechy,24,-1705
62,Anze Lanisek,slowenia,23,-1706
63,Sami Niemi,finlandia,19,-1710
64,Anssi Koivuranta,finlandia,18,-1711
65,Maciej Kot,polska,17,-1712
66,Killian Peier,szwajcaria,15,-1714
67,Joachim Hauer,norwegia,14,-1715
,Ulrich Wohlgenannt,austria,14,-1715
69,Ronan Lamy Chappuis,francja,13,-1716
70,Vladimir Zografski,bulgaria,11,-1718
,Daniel Wenig,niemcy,11,-1718
72,Wolfgang Loitzl,austria,8,-1721
73,Tomaz Naglic,slowenia,6,-1723
,Denis Kornilov,rosja,6,-1723
75,Karl Geiger,niemcy,5,-1724
,Robert Johansson,norwegia,5,-1724
,Rok Justin,slowenia,5,-1724
78,Stefan Hula,polska,4,-1725
,Ole Marius Ingvaldsen,norwegia,4,-1725
,Lukas Hlava,czechy,4,-1725
,Nicholas Alexander,usa,4,-1725
82,Kenshiro Ito,japonia,2,-1727
,Pius Paschke,niemcy,2,-1727
,Seou Choi,korea,2,-1727
85,Alexey Romashov,rosja,1,-1728
,Harri Olli,finlandia,1,-1728
,Simon Greiderer,austria,1,-1728
