Position,Competitor,Country,Points,Gap
1,Janne Ahonen,finlandia,1316,
2,Roar Ljoekelsoey,norwegia,1306,-10
3,Bjoern Einar Romoeren,norwegia,825,-491
4,Sigurd Pettersen,norwegia,787,-529
5,Martin Höllwarth,austria,731,-585
6,Thomas Morgenstern,austria,696,-620
7,Matti Hautamäki,finlandia,673,-643
8,Noriaki Kasai,japonia,631,-685
9,Georg Späth,niemcy,557,-759
10,Peter Zonta,slowenia,545,-771
11,Tommy Ingebrigtsen,norwegia,526,-790
12,Adam Małysz,polska,525,-791
13,Simon Ammann,szwajcaria,511,-805
14,Michael Uhrmann,niemcy,501,-815
15,Veli-Matti Lindström,finlandia,476,-840
16,Tami Kiuru,finlandia,411,-905
17,Rok Benkovic,slowenia,343,-973
18,Andreas Goldberger,austria,299,-1017
19,Akseli Kokkonen,finlandia,280,-1036
20,Martin Schmitt,niemcy,276,-1040
21,Lars Bystoel,norwegia,263,-1053
,Andreas Kofler,austria,263,-1053
23,Andreas Küttel,szwajcaria,258,-1058
24,Sven Hannawald,niemcy,253,-1063
25,Akira Higashi,japonia,250,-1066
26,Alexander Herr,niemcy,241,-1075
27,Maximilian Mechler,niemcy,209,-1107
28,Wolfgang Loitzl,austria,206,-1110
29,Andreas Widhölzl,austria,192,-1124
30,Morten Solem,norwegia,172,-1144
31,Hideharu Miyahira,japonia,167,-1149
32,Anders Bardal,norwegia,162,-1154
33,Henning Stensrud,norwegia,161,-1155
34,Stephan Hocke,niemcy,115,-1201
35,Emmanuel Chedal,francja,100,-1216
36,Reinhard Schwarzenberger,austria,93,-1223
37,Daiki Ito,japonia,91,-1225
38,Johan Erikson,szwecja,86,-1230
39,Jakub Janda,czechy,78,-1238
40,Jussi Hautamäki,finlandia,71,-1245
,Florian Liegl,austria,71,-1245
,Kazuyoshi Funaki,japonia,71,-1245
43,Hiroki Yamada,japonia,68,-1248
44,Juha-Matti Ruuskanen,finlandia,65,-1251
45,Primoz Peterka,slowenia,64,-1252
46,Robert Kranjec,slowenia,58,-1258
47,Jörg Ritzerfeld,niemcy,53,-1263
48,Nicolas Dessum,francja,49,-1267
49,Christian Nagiller,austria,44,-1272
50,Janne Happonen,finlandia,39,-1277
51,Jan Matura,czechy,32,-1284
52,Marcin Bachleda,polska,27,-1289
53,Clint Jones,usa,25,-1291
54,Wojciech Skupień,polska,24,-1292
55,Alexey Silaev,rosja,22,-1294
,Jernej Damjan,slowenia,22,-1294
57,Balthasar Schneider,austria,20,-1296
58,Mateusz Rutkowski,polska,17,-1299
59,Stefan Thurnbichler,austria,16,-1300
,Dmitriy Vassiliev,rosja,16,-1300
61,Teppei Takano,japonia,14,-1302
,Dimitry Ipatov,rosja,14,-1302
63,Stefan Pieper,niemcy,13,-1303
,Denis Kornilov,rosja,13,-1303
65,Damjan Fras,slowenia,11,-1305
66,Jens Salumäe,estonia,10,-1306
67,Martin Mesik,slowacja,9,-1307
,Ferdinand Bader,niemcy,9,-1307
,Wojciech Tajner,polska,9,-1307
70,Harri Olli,finlandia,6,-1310
,Assan Takhtakhunov,kazachstan,6,-1310
72,Pekka Salminen,finlandia,5,-1311
,Olav Magne Dönnem,norwegia,5,-1311
74,Maksim Anisimov,bialorus,3,-1313
,Radik Zhaparov,kazachstan,3,-1313
,Jan Mazoch,czechy,3,-1313
77,Chil-Ku Kang,korea,2,-1314
,Roland Mueller,austria,2,-1314
